Two ^cd++++=Two
widely ^rb++++=widely
used ^xvbn+++xvbn+=used
approaches ^nns++++=approaches
exist ^vb++++=exist
for ^in++++=for
the ^ati++++=the
quality ^nn++++=quality
assessment ^nn++++=assessment
of ^in++++=of
primary ^jj+atrb+++=primary
studies ^nns++++=studies:
: ^zz++++=EXTRAWORD
the ^ati++++=the
component ^nn++++=component
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
evaluates ^nns+++??+=evaluates
individual ^jj+atrb+++=individual
items ^nns++++=items
within ^in++++=within
each ^dt++++=each
domain ^nn++++=domain
of ^in++++=of
the ^ati++++=the
assessment ^nn++++=assessment
tool ^nn++++=tool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
composite ^nn++++=composite
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
considers ^vbz+vprv+++=considers
the ^ati++++=the
quality ^nn++++=quality
scores ^nns++++=scores
of ^in++++=of
each ^dt++++=each
domain ^nn++++=domain
to ^to++++=to
generate ^vbi++++=generate
an ^at++++=an
overall ^jjb+atrb+++=overall
score ^nn++++=score
( ^zz++++=(24).
24 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
