Thirty ^cd++++=Thirty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
new ^jj+atrb+++=new
species ^nns++++=species
occurrences ^nns++++=occurrences
were ^vbd+bed+aux++=were
documented ^vpsv++agls+xvbnx+=documented
for ^in++++=for
Para ^nn++++=Para
ba ^nn+++??+=ba
State ^nn++++=State
( ^zz++++=(indicated
indicated ^vpsv++by+xvbn+=EXTRAWORD
by ^in++++=by
* ^zz++++=*
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
including ^in++++=including
one ^cd1++++=one
representing ^vbg+++xvbg+=representing
a ^at++++=a
new ^jj+atrb+++=new
genus ^nns+++??+=genus
record ^nn++++=record,
, ^zz++++=EXTRAWORD
Eriope ^np+++??+=Eriope
Kunth ^np+++??+=Kunth
ex ^jjb++++=ex
Benth ^np+++??+=Benth.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
three ^cd++++=three
species ^nn++++=species
were ^vbd+bed+aux++=were
recorded ^vpsv++agls+xvbnx+=recorded
as ^ql++++=as
new ^np++++=new
occurrences ^nns++++=occurrences
for ^in++++=for
the ^ati++++=the
Caatinga ^np+++??+=Caatinga
domain ^nn++++=domain:
: ^zz++++=EXTRAWORD
Helicteres ^np+++??+=Helicteres
andersonii ^nn+++??+=andersonii
Crist ^np+++??+=Crist
bal ^nn+++??+=bal
( ^zz++++=(Malvaceae),
malvaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Niedenzuella ^np+++??+=Niedenzuella
multiglandulosa ^nn+++??+=multiglandulosa
( ^zz++++=(A.
a ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Juss ^np+++??+=Juss.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
W.r ^np+++??+=W.R.
. ^zz++++=EXTRAWORD
Anderson ^np++++=Anderson
( ^zz++++=(Malpighiaceae),
malpighiaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Oxalis ^np+++??+=Oxalis
latifolia ^nn+++??+=latifolia
Kunth ^np+++??+=Kunth
( ^zz++++=(Oxalidaceae).
oxalidaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
two ^cd++++=two
recently ^rb+tm+++=recently
described ^xvbn+++xvbn+=described
species ^nns++++=species,
, ^zz++++=EXTRAWORD
Harpochilus ^np+++??+=Harpochilus
paraibanus ^nns+++??+=paraibanus
F.k.s ^np+++??+=F.K.S.
. ^zz++++=EXTRAWORD
Monteiro ^np+++??+=Monteiro,
, ^zz++++=EXTRAWORD
J.i.m ^np+++??+=J.I.M.
. ^zz++++=EXTRAWORD
Melo ^np+++??+=Melo
& ^zz++++=&
E.m.p ^np+++??+=E.M.P.
. ^zz++++=EXTRAWORD
Fernando ^np++++=Fernando
( ^zz++++=(Monteiro
monteiro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Mesosphaerum ^np+++??+=Mesosphaerum
caatingense ^nn+++??+=caatingense
Harley ^np++++=Harley
& ^zz++++=&
J.f.b ^np+++??+=J.F.B.
. ^zz++++=EXTRAWORD
Pastore ^np+++??+=Pastore
( ^zz++++=(Harley
harley ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
also ^rb++++=also
recorded ^jj+pred+++=recorded.
. ^zz++++=EXTRAWORD
