Panoramic ^jj+atrb+++=Panoramic
radiography ^nn+++??+=radiography
and ^cc++++=and
cone ^nn++++=cone-beam
- ^zz++++=EXTRAWORD
beam ^nn++++=EXTRAWORD
computed ^vwbn+++xvbn+=computed
tomography ^nn+++??+=tomography
( ^zz++++=(CBCT)
cbct ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
widely ^rb++splt++=widely
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
effective ^jj+atrb+++=effective
imaging ^nn+++??+=imaging
modalities ^nns+++??+=modalities
for ^in++++=for
the ^ati++++=the
assessment ^nn++++=assessment
of ^in++++=of
the ^ati++++=the
mandibular ^jj+atrb+++=mandibular
canal ^nn++++=canal
( ^zz++++=(MC).
mc ^nnu++++=EXTRAWORD
). ^nn++++=EXTRAWORD
