Although ^cs+con+++=Although
this ^dt+dem+++=this
research ^nn++++=research
primarily ^rb+down+++=primarily
employs ^vbz++++=employs
a ^at++++=a
qualitative ^jj+atrb+++=qualitative
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
also ^rb++++=also
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
incorporate ^vbi++++=incorporate
quantitative ^jj+atrb+++=quantitative
procedures ^nns++++=procedures
to ^to++++=to
support ^vbi++++=support
the ^ati++++=the
analysis ^nn++++=analysis
with ^in++++=with
quantified ^nn+++??+=quantified
data ^nns++++=data,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+aux++=were
organized ^vpsv++agls+xvbnx+=organized
in ^in++++=in
tables ^nns++++=tables
and ^cc++++=and
graphs ^nns++++=graphs
( ^zz++++=(Silva,
silva ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Santade ^np+++??+=Santade,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Santade ^np+++??+=Santade
( ^zz++++=(2014),
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
quantitative ^jj+atrb+++=quantitative
research ^nn++++=research
involves ^vbz++++=involves
the ^ati++++=the
organization ^nn++++=organization
of ^in++++=of
numerical ^jj+atrb+++=numerical
information ^nn++++=information
through ^in++++=through
statistical ^jj+atrb+++=statistical
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
qualitative ^jj+atrb+++=qualitative
research ^nn++++=research
focuses ^vbz++++=focuses
on ^in++++=on
a ^at++++=a
structured ^nn+++??+=structured
and ^cc++++=and
interpretative ^jj+atrb+++=interpretative
analysis ^nn++++=analysis
of ^in++++=of
information ^nn++++=information.
. ^zz++++=EXTRAWORD
The ^ati++++=The
integration ^nn++++=integration
of ^in++++=of
these ^dt+dem+++=these
approaches ^nns++++=approaches
enhances ^vbz++++=enhances
the ^ati++++=the
accuracy ^nn++++=accuracy
of ^in++++=of
data ^nns++++=data
description ^nn++++=description
and ^cc++++=and
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^vbg+++xvbg+=contributing
to ^in++++=to
reliable ^jj+atrb+++=reliable
and ^cc+phrs+++=and
valid ^jj+atrb+++=valid
results ^nns++++=results
and ^cc++++=and
conclusions ^nns++++=conclusions
( ^zz++++=(Santade,
santade ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
102 ^cd++++=102).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
quantitative ^nn++++=quantitative
approach ^vb++++=approach
facilitated ^vbd+++xvbn+=facilitated
both ^abx++++=both
the ^ati++++=the
collection ^nn++++=collection
and ^cc++++=and
quantification ^nn+++??+=quantification
of ^in++++=of
data ^nns++++=data
during ^in++++=during
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
phase ^nn++++=phase
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
the ^ati++++=the
selection ^nn++++=selection
of ^in++++=of
articles ^nns++++=articles
for ^in++++=for
the ^ati++++=the
literature ^nn++++=literature
review ^nn++++=review)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
practical ^jj+atrb+++=practical
phase ^nn++++=phase
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
the ^ati++++=the
compilation ^nn++++=compilation
of ^in++++=of
data ^nns++++=data
from ^in++++=from
sixth ^od++++=sixth
grade ^nn++++=grade
English ^jj+atrb+++=English
textbooks ^nns++++=textbooks
used ^vwbn+++xvbn+=used
in ^in++++=in
public ^jj+atrb+++=public
schools ^nns++++=schools
in ^in++++=in
Santa ^&fw++++=Santa
Maria ^&fw++++=Maria,
, ^zz++++=EXTRAWORD
Rs ^np+++??+=RS,
, ^zz++++=EXTRAWORD
in ^in++++=in
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
the ^ati++++=the
qualitative ^jj+atrb+++=qualitative
approach ^nn++++=approach
was ^vbd+bedz+vrb++=was
essential ^nn++++=essential
for ^in++++=for
the ^ati++++=the
analysis ^nn++++=analysis
and ^cc++++=and
interpretation ^nn++++=interpretation
of ^in++++=of
these ^dt+dem+++=these
data ^nns++++=data,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
form ^vb++++=form
the ^ati++++=the
basis ^nn++++=basis
for ^in++++=for
the ^ati++++=the
proposed ^jj+atrb+++=proposed
adaptation ^nn++++=adaptation.
. ^zz++++=EXTRAWORD
