On ^in++++=On
January ^nr++++=January
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
1936 ^cd+date+++=1936,
, ^zz++++=EXTRAWORD
a ^at++++=a
decree ^nn++++=decree
was ^vbd+bedz+aux++=was
published ^vpsv++agls+xvbnx+=published
that ^dt+pdem+++=that
established ^vbd+vprv++xvbn+=established
specific ^jj+atrb+++=specific
salary ^nn++++=salary
adjustments ^nns++++=adjustments
for ^in++++=for
federal ^jj+atrb+++=federal
civil ^jj+atrb+++=civil
personnel ^nns++++=personnel,
, ^zz++++=EXTRAWORD
as ^in++++=as
outlined ^nn++++=outlined
in ^in++++=in
the ^ati++++=the
law ^nn++++=law
enacted ^vbd+++xvbn+=enacted
on ^in++++=on
the ^ati++++=the
same ^ap++++=same
date ^nn++++=date.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
this ^dt+dem+++=this
decree ^nn++++=decree,
, ^zz++++=EXTRAWORD
workers ^nns++++=workers
earning ^vwbg+++xvbg+=earning
less ^rbr++++=less
than ^in++++=than
150 ^cd++++=150
milreis ^nns+++??+=milreis
had ^vb+hv+vrb++=had
their ^pp$+pp3+++=their
salaries ^nns++++=salaries
increased ^vbd+++xvbn+=increased
to ^to++++=to
200 ^cd++++=200
milreis ^nns+++??+=milreis.
. ^zz++++=EXTRAWORD
For ^in++++=For
those ^dt+dem+++=those
with ^in++++=with
incomes ^nns++++=incomes
between ^in++++=between
150 ^cd++++=150
and ^cc++++=and
1,500 ^cd++++=1,500
milreis ^nns+++??+=milreis,
, ^zz++++=EXTRAWORD
salaries ^nns++++=salaries
were ^vbd+bed+aux++=were
increased ^vpsv++by+xvbnx+=increased
by ^in++++=by
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
500 ^cd++++=500
milreis ^nns+++??+=milreis,
, ^zz++++=EXTRAWORD
by ^in++++=by
20 ^cd++++=20%
% ^zz++++=EXTRAWORD
per ^nnu++++=per
milreis ^nns+++??+=milreis
up ^rp++++=up
to ^to++++=to
1,000 ^cd++++=1,000
milreis ^nns+++??+=milreis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
per ^nnu++++=per
milreis ^nns+++??+=milreis
up ^rp++++=up
to ^to++++=to
1,500 ^cd++++=1,500
milreis ^nns+++??+=milreis.
. ^zz++++=EXTRAWORD
Employees ^nns++++=Employees
earning ^vwbg+++xvbg+=earning
between ^in++++=between
1,500 ^cd++++=1,500
and ^cc++++=and
2,500 ^cd++++=2,500
milreis ^vbz+++??+=milreis
received ^vprf+++xvbn+=received
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
increase ^nn++++=increase
of ^in++++=of
300 ^cd++++=300
milreis ^nns+++??+=milreis,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
those ^dt+dem+++=those
with ^in++++=with
incomes ^nns++++=incomes
between ^in++++=between
2,500 ^cd++++=2,500
and ^cc++++=and
3,000 ^cd++++=3,000
milreis ^vbz+++??+=milreis
received ^vprf+++xvbn+=received
an ^at++++=an
increase ^nn++++=increase
of ^in++++=of
250 ^cd++++=250
milreis ^nns+++??+=milreis.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
workers ^nns++++=workers
with ^in++++=with
incomes ^nns++++=incomes
between ^in++++=between
3,000 ^cd++++=3,000
and ^cc++++=and
4,000 ^cd++++=4,000
milreis ^nns++++=milreis
were ^vbd+bed+aux++=were
granted ^vpsv++agls+xvbn+=granted
an ^at++++=an
increase ^nn++++=increase
of ^in++++=of
200 ^cd++++=200
milreis ^nns++++=milreis.
. ^zz++++=EXTRAWORD
