Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
descriptive ^jj+atrb+++=descriptive
analysis ^nn++++=analysis
of ^in++++=of
the ^ati++++=the
sociodemographic ^nn+++??+=sociodemographic
and ^cc++++=and
clinical ^jj+atrb+++=clinical
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
sample ^nn++++=sample.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
286 ^cd++++=286
participants ^nns++++=participants,
, ^zz++++=EXTRAWORD
77.9 ^cd++++=77.9%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
female ^nn++++=female,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
mean ^jj+atrb+++=mean
age ^nn++++=age
of ^in++++=of
23.3 ^cd++++=23.3
years ^nns++++=years
( ^zz++++=(SD
sd ^nn++++=EXTRAWORD
= ^zz++++==
4.9 ^cd++++=4.9).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
majority ^nn++++=majority
were ^vbd+bed+vrb++=were
veterans ^nns++++=veterans
( ^zz++++=(87.9%),
87.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
enrolled ^j+++xvbn+=enrolled
in ^in++++=in
the ^ati++++=the
Medicine ^nn++++=Medicine
program ^nn+++??+=program
( ^zz++++=(44.2%),
44.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
self ^nn++++=self-identified
- ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=EXTRAWORD
as ^ql++++=as
white ^jj++++=white
( ^zz++++=(49.8%),
49.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
single ^jj+pred+++=single
( ^zz++++=(85.8%),
85.8% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
attended ^jj+atrb++xvbn+=attended
private ^jj+atrb+++=private
universities ^nns++++=universities
( ^zz++++=(80.4%),
80.4% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
primarily ^rb+down+++=primarily
resided ^nn++++=resided
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
sergipe ^np++++=Sergipe
( ^zz++++=(58.2%).
58.2% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
