Eleven ^cd++++=Eleven
of ^in++++=of
the ^ati++++=the
70 ^cd++++=70
studies ^nns++++=studies
( ^zz++++=(15.7%)
15.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
recommended ^vbd+vsua++xvbn+=recommended
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
hydrogels ^nns+++??+=hydrogels
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wound ^vbd+++xvbn+=wound
( ^zz++++=(MFW)-related
mfw) ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
included ^jj+atrb++xvbn+=included
studies ^nns++++=studies
comprised ^vbd+++xvbn+=comprised
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
( ^zz++++=(54.5%),
54.5% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
case ^nn++++=case
studies ^nns++++=studies
( ^zz++++=(36.3%),
36.3% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews
( ^zz++++=(9.2%).
9.2% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
eight ^cd++++=eight
studies ^nns++++=studies
( ^zz++++=(72.7%)
72.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
mentioned ^vbn+vpub++xvbn+=mentioned
hydrogels ^nns+++??+=hydrogels
only ^rb+down+++=only
briefly ^rb+cnj+++=briefly,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
as ^in++++=as
an ^at++++=an
optional ^nn+++??+=optional
dressing ^xvbg+++xvbg+=dressing
intended ^vwbn+vsua++xvbn+=intended
to ^to+vcmp+++=to
reduce ^vbi++++=reduce
pain ^nn++++=pain
by ^in++++=by
maintaining ^xvbg+++xvbg+=maintaining
a ^at++++=a
moist ^jj+atrb+++=moist
wound ^nn+++xvbn+=wound
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
provided ^vbd+vsua++xvbn+=provided
limited ^vbd+++xvbn+=limited
discussion ^nn++++=discussion
and ^cc++++=and
lacked ^vbd+++xvbn+=lacked
supporting ^vbg+++xvbg+=supporting
evidence ^nn++++=evidence.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
hydrogels ^nns+++??+=hydrogels
were ^vbd+bed+vrb++=were
referenced ^nn+++??+=referenced
as ^ql++++=as
vehicles ^nns++++=vehicles
for ^in++++=for
the ^ati++++=the
delivery ^nn++++=delivery
of ^in++++=of
other ^ap++++=other
active ^jj+atrb+++=active
substances ^nns++++=substances,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
opioids ^nns+++??+=opioids,
, ^zz++++=EXTRAWORD
anesthetics ^nns+++??+=anesthetics,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
antibiotics ^nns++++=antibiotics.
. ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
the ^ati++++=the
studies ^nns++++=studies
described ^vbd+++xvbn+=described
a ^at++++=a
standardized ^nn+++??+=standardized
protocol ^nn++++=protocol
for ^in++++=for
hydrogel ^nn+++??+=hydrogel
application ^nn++++=application,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
outcome ^nn++++=outcome
data ^nns++++=data
were ^vbd+bed+aux++=were
reported ^vbn+vpub+++=reported.
. ^zz++++=EXTRAWORD
