Goldin ^np+++??+=Goldin-Meadow
- ^zz++++=EXTRAWORD
meadow ^nn++++=EXTRAWORD
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
gesture ^nn++++=gesture
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
enhance ^vbi++++=enhance
learning ^vbg+vprv++xvbg+=learning
outcomes ^nns+++??+=outcomes
for ^in++++=for
all ^abn++++=all
children ^nns++++=children
and ^cc++++=and
may ^md+pos+++=may
contribute ^vb++++=contribute
to ^to++++=to
reducing ^vbi++++=reducing
disparities ^nns+++??+=disparities
in ^in++++=in
language ^nn++++=language
and ^cc++++=and
mathematics ^nn++++=mathematics
performance ^nn++++=performance.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
gesture ^nn++++=gesture
can ^md+pos+++=can
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
tool ^nn++++=tool
for ^in++++=for
teachers ^vb++++=teachers
to ^to+vcmp+++=to
gain ^vbi++++=gain
insight ^nn++++=insight
into ^in++++=into
students ^nns++++=students'
' ^zz++++=EXTRAWORD
cognitive ^nn+++??+=cognitive
processes ^nns++++=processes
and ^cc++++=and
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
their ^pp$+pp3+++=their
understanding ^nvbg+++xvbg+=understanding
by ^in++++=by
analyzing ^nn+++??+=analyzing
the ^ati++++=the
integration ^nn++++=integration
of ^in++++=of
speech ^nn++++=speech
and ^cc++++=and
gesture ^nn++++=gesture
during ^in++++=during
classroom ^nn++++=classroom
interactions ^nns++++=interactions.
. ^zz++++=EXTRAWORD
