According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
interviewee ^nn+++??+=interviewee,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
indicated ^vprf+++xvbn+=indicated
that ^tht+vcmp+++=that
mayoral ^jj+atrb+++=mayoral
support ^nn++++=support
was ^vbd+bedz+vrb++=was
of ^in++++=of
limited ^jj+atrb++xvbn+=limited
importance ^nn++++=importance
to ^in++++=to
her ^pp$+pp3+++=her
election ^nn++++=election,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
media ^nn++++=media
platforms ^nns++++=platforms
largely ^rb++++=largely
disregard ^vb++++=disregard
mayors ^npts++++=mayors
as ^ql++++=as
sources ^nns++++=sources
of ^in++++=of
information ^nn++++=information.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
about ^in++++=about
the ^ati++++=the
potential ^jj+atrb+++=potential
scenario ^nn++++=scenario
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
mayor ^nn++++=mayor
might ^md+pos+++=might
not ^xnot++not++=not
acknowledge ^vb+vpub+++=acknowledge
the ^ati++++=the
representative ^npt++++=representative
s ^zz++++=s
actions ^nns++++=actions
or ^cc++++=or
might ^md+pos+++=might
attempt ^vb++++=attempt
to ^to+vcmp+++=to
undermine ^vbi++++=undermine
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
the ^ati++++=the
interviewee ^nn++++=interviewee
stated ^vwbn+vpub+tht0++=stated
that ^tht+vcmp+++=that:
: ^zz++++=EXTRAWORD
