A ^at++++=A
total ^nn++++=total
of ^in++++=of
20 ^cd++++=20
proposals ^nns++++=proposals
for ^in++++=for
the ^ati++++=the
topical ^jj+atrb+++=topical
management ^nn++++=management
of ^in++++=of
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wound ^vbd+++xvbn+=wound
( ^zz++++=(MFW)-related
mfw) ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
pain ^nn++++=pain
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
proposals ^nns++++=proposals
are ^vb+ber+aux++=are
organized ^vpsv++agls+xvbnx+=organized
into ^in++++=into
two ^cd++++=two
main ^jjb+atrb+++=main
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
topical ^jj++++=topical
therapies ^vbz+++??+=therapies
applied ^vbd+++xvbn+=applied
directly ^rb++++=directly
to ^in++++=to
the ^ati++++=the
wound ^nn+++xvbn+=wound
and ^cc++++=and
topical ^jj++++=topical
therapies ^vbz+++??+=therapies
applied ^vbd+++xvbn+=applied
to ^in++++=to
the ^ati++++=the
periwound ^nn+++??+=periwound
skin ^nn++++=skin.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
topical ^jj+atrb+++=topical
therapies ^nns+++??+=therapies
across ^in+pl+++=across
the ^ati++++=the
70 ^cd++++=70
included ^vbd+++xvbn+=included
studies ^nns++++=studies.
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
3 ^zz++++=3
provides ^vbz+vsua+++=provides
an ^at++++=an
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
identified ^jj+atrb++xvbn+=identified
topical ^jj+atrb+++=topical
therapies ^nns+++??+=therapies,
, ^zz++++=EXTRAWORD
categorized ^nn+++??+=categorized
by ^in++++=by
the ^ati++++=the
sources ^nns++++=sources
of ^in++++=of
Mfw ^np+++??+=MFW-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
highlights ^nns++++=highlights
the ^ati++++=the
primary ^jj+atrb+++=primary
research ^nn++++=research
gaps ^nns++++=gaps
in ^in++++=in
this ^dt+dem+++=this
area ^nn++++=area.
. ^zz++++=EXTRAWORD
