This ^dt+pdem+++=This
represents ^vbz++++=represents
a ^at++++=a
significant ^jj+atrb+++=significant
contrast ^nn++++=contrast
with ^in++++=with
the ^ati++++=the
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
region ^nn++++=region,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Gdp ^np+++??+=GDP
declined ^vwbn+++xvbn+=declined
by ^in++++=by
16 ^cd++++=16%
% ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
same ^ap++++=same
period ^nn++++=period
( ^zz++++=(Mitchell
mitchell ^np++++=EXTRAWORD
1993:762 ^cd++++=1993:762-764).
- ^zz++++=EXTRAWORD
764 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
Ecuador ^np+++??+=Ecuador,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
primary ^jj+atrb+++=primary
economic ^jj+atrb+++=economic
impact ^nn++++=impact
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
international ^jj+atrb+++=international
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
decreased ^vpsv++by+xvbn+=decreased
by ^in++++=by
55 ^cd++++=55%
% ^zz++++=EXTRAWORD
by ^in++++=by
1932 ^cd+date+++=1932
( ^zz++++=(Naranjo
naranjo ^nn+++??+=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
article ^nn++++=article
addresses ^nns++++=addresses
three ^cd++++=three
main ^jjb+atrb+++=main
themes ^nns++++=themes:
: ^zz++++=EXTRAWORD
the ^ati++++=the
economically ^rb++++=economically
active ^jj+atrb+++=active
population ^nn++++=population
and ^cc++++=and
purchasing ^jj+atrb++xvbg+=purchasing
power ^nn++++=power;
; ^zz++++=EXTRAWORD
the ^ati++++=the
legal ^jj+atrb+++=legal
framework ^nn++++=framework
governing ^vwbg+++xvbg+=governing
working ^jj+atrb++xvbg+=working
conditions ^nns++++=conditions;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
brief ^jj+atrb+++=brief
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
the ^ati++++=the
minimum ^jj+atrb+++=minimum
wage ^nn++++=wage
in ^in++++=in
ecuador ^np++++=Ecuador
and ^cc++++=and
selected ^jj+atrb+++=selected
latin ^jj+atrb+++=Latin
american ^jj+atrb+++=American
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
