According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
interviewees ^nns++++=interviewees,
, ^zz++++=EXTRAWORD
state ^nn++++=state
representatives ^nns++++=representatives
typically ^rb++++=typically
collaborate ^vb++++=collaborate
with ^in++++=with
national ^jj+atrb+++=national
representatives ^nns++++=representatives,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
frequently ^rb++++=frequently
forming ^vbg+++xvbg+=forming
partnerships ^nns+++??+=partnerships
with ^in++++=with
individuals ^nns++++=individuals
from ^in++++=from
different ^jj+atrb+++=different
parties ^nns++++=parties
but ^cc++++=but
the ^ati++++=the
same ^ap++++=same
region ^nn++++=region.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
suggest ^vb+vpub+++=suggest
a ^at++++=a
division ^nn++++=division
of ^in++++=of
labor ^nn+++??+=labor
that ^tht+rel+obj++=that
benefits ^nns++++=benefits
all ^rb++++=all
parties ^nns++++=parties
involved ^vbd+++xvbn+=involved:
: ^zz++++=EXTRAWORD
national ^jj+atrb+++=national
legislators ^nns+++??+=legislators
are ^vb+ber+vrb++=are
able ^jj+pred+++=able
to ^to+jcmp+++=to
allocate ^vb+++??+=allocate
larger ^jjr+atrb+++=larger
financial ^jj+atrb+++=financial
resources ^nns++++=resources
to ^in++++=to
municipalities ^nns+++??+=municipalities
through ^in++++=through
budget ^nn++++=budget
amendments ^nns++++=amendments,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
state ^nn++++=state
representatives ^nns++++=representatives
maintain ^vb+vpub+++=maintain
closer ^rbr++++=closer
contact ^nn++++=contact
with ^in++++=with
the ^ati++++=the
region ^nn++++=region
and ^cc++++=and
its ^pp$+it+++=its
voters ^nns++++=voters.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
case ^nn++++=case
from ^in++++=from
our ^pp$+pp1+++=our
sample ^nn++++=sample,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
evidence ^nn++++=evidence
of ^in++++=of
a ^at++++=a
near ^in+pl+++=near-complete
- ^zz++++=EXTRAWORD
complete ^jj+atrb+++=EXTRAWORD
integration ^nn++++=integration
between ^in++++=between
the ^ati++++=the
offices ^nns++++=offices
of ^in++++=of
a ^at++++=a
state ^nn++++=state
legislator ^nn++++=legislator
and ^cc++++=and
her ^pp$+pp3+++=her
national ^jj+atrb+++=national
counterpart ^nn++++=counterpart,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
belonged ^vbd+++xvbn+=belonged
to ^to++++=to
the ^ati++++=the
same ^ap++++=same
political ^jj+atrb+++=political
party ^nn++++=party.
. ^zz++++=EXTRAWORD
