The ^ati++++=The
study ^nn++++=study
sample ^nn++++=sample
comprised ^vbd+++xvbn+=comprised
286 ^cd++++=286
university ^nn++++=university
students ^nns++++=students
enrolled ^vbd+++xvbn+=enrolled
in ^in++++=in
13 ^cd++++=13
distinct ^jj+atrb+++=distinct
undergraduate ^nn++++=undergraduate
programs ^nns+++??+=programs
within ^in++++=within
the ^ati++++=the
biological ^jj++++=biological
and ^cc++++=and
health ^nn++++=health
sciences ^nns++++=sciences,
, ^zz++++=EXTRAWORD
including ^in++++=including
biology ^nn++++=biology,
, ^zz++++=EXTRAWORD
biomedicine ^nn+++??+=biomedicine,
, ^zz++++=EXTRAWORD
physical ^jj+atrb+++=physical
education ^nn++++=education,
, ^zz++++=EXTRAWORD
nursing ^nn++++=nursing,
, ^zz++++=EXTRAWORD
pharmacy ^nn++++=pharmacy,
, ^zz++++=EXTRAWORD
physiotherapy ^nn++++=physiotherapy,
, ^zz++++=EXTRAWORD
speech ^nn++++=speech
therapy ^nn++++=therapy,
, ^zz++++=EXTRAWORD
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
nutrition ^nn++++=nutrition,
, ^zz++++=EXTRAWORD
dentistry ^nn++++=dentistry,
, ^zz++++=EXTRAWORD
psychology ^nn++++=psychology,
, ^zz++++=EXTRAWORD
chiropractic ^nn+++??+=chiropractic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
occupational ^jj+atrb+++=occupational
therapy ^nn++++=therapy.
. ^zz++++=EXTRAWORD
Participants ^nns++++=Participants
were ^vbd+bed+aux++=were
recruited ^vpsv++agls+xvbnx+=recruited
through ^in++++=through
convenience ^nn++++=convenience
sampling ^nn++++=sampling
( ^zz++++=(nonprobability
nonprobability ^nn+++??+=EXTRAWORD
sampling ^nn++++=sampling)
) ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
following ^jj+atrb++xvbg+=following
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
enrollment ^nn+++??+=enrollment
as ^ql++++=as
an ^at++++=an
undergraduate ^nn++++=undergraduate
student ^nn++++=student
in ^in++++=in
a ^at++++=a
health ^nn++++=health-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
program ^nn+++??+=program
at ^rb++++=at
a ^at++++=a
Brazilian ^jj+atrb+++=Brazilian
Higher ^jjr+atrb+++=Higher
Education ^nn++++=Education
Institution ^nn++++=Institution
( ^zz++++=(HEI),
hei ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
age ^nn++++=age
of ^in++++=of
18 ^cd++++=18
years ^nns++++=years
or ^cc++++=or
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
access ^nn++++=access
to ^to++++=to
the ^ati++++=the
internet ^nn++++=internet.
. ^zz++++=EXTRAWORD
