Data ^nns++++=Data
on ^in++++=on
the ^ati++++=the
economically ^rb++++=economically
active ^jj+atrb+++=active
population ^nn++++=population
in ^in++++=in
Ecuador ^np+++??+=Ecuador
during ^in++++=during
the ^ati++++=the
1930s ^cd+date+++=1930s
are ^vb+ber+aux++=are
limited ^vpsv++agls+xvbnx+=limited
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
absence ^nn++++=absence
of ^in++++=of
systematic ^jj+atrb+++=systematic
data ^nns++++=data
collection ^nn++++=collection
or ^cc++++=or
national ^jj+atrb+++=national
censuses ^nns++++=censuses
conducted ^vwbn+++xvbn+=conducted
by ^in++++=by
the ^ati++++=the
central ^jj+atrb+++=central
government ^nn++++=government
during ^in++++=during
that ^dt+dem+++=that
period ^nn++++=period.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
available ^jj+atrb+++=available
figures ^nns++++=figures
are ^vb+ber+aux++=are
estimates ^nns++++=estimates
derived ^vbd+++xvbn+=derived
from ^in++++=from
local ^jj+atrb+++=local
projections ^nns++++=projections
rather ^rb++++=rather
than ^in++++=than
comprehensive ^jj+atrb+++=comprehensive
national ^jj+atrb+++=national
statistics ^nn++++=statistics.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
calculations ^nns++++=calculations
by ^in++++=by
the ^ati++++=the
National ^jj++++=National
Economic ^jj++++=Economic
Planning ^jj+++xvbg+=Planning
and ^cc++++=and
Coordination ^np+++??+=Coordination
Board ^nn++++=Board,
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
32 ^cd++++=32%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
population ^nn++++=population
was ^vbd+bedz+aux++=was
considered ^vbd+vprv++xvbn+=considered
economically ^rb++++=economically
active ^jj++++=active
by ^in++++=by
1962 ^cd+date+++=1962.
. ^zz++++=EXTRAWORD
