It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+tht0++=note
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
a ^at++++=a
resource ^nn++++=resource
room ^nn++++=room
was ^vbd+bedz+vrb++=was
available ^jj+pred+++=available
for ^in++++=for
special ^jj+atrb+++=special
educational ^jj+atrb+++=educational
services ^nns++++=services,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
pedagogical ^jj+atrb+++=pedagogical
materials ^nns++++=materials
accessible ^jj++++=accessible
to ^in++++=to
blind ^jj+atrb+++=blind
students ^nns++++=students
that ^tht+rel+subj++=that
would ^md+prd+++=would
allow ^vb++++=allow
them ^pp3o+pp3+++=them
to ^to++++=to
engage ^vbi++++=engage
with ^in++++=with
the ^ati++++=the
full ^jj+atrb+++=full
curricular ^nn+++??+=curricular
content ^nn++++=content,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
significant ^jj+atrb+++=significant
gaps ^nns++++=gaps
in ^in++++=in
their ^pp$+pp3+++=their
learning ^nvbg+++xvbg+=learning.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
the ^ati++++=the
teacher ^nn++++=teacher
was ^vbd+bedz+aux++=was
often ^rb++splt++=often
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
create ^vbi++++=create
improvised ^vbd+++xvbn+=improvised
materials ^nns++++=materials,
, ^zz++++=EXTRAWORD
frequently ^rb++++=frequently
without ^in++++=without
financial ^jj+atrb+++=financial
support ^nn++++=support,
, ^zz++++=EXTRAWORD
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
meet ^vbi++++=meet
the ^ati++++=the
need ^nn++++=need
for ^in++++=for
adapted ^xvbn+++xvbn+=adapted
resources ^nns++++=resources
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
not ^xnot++not++=not
provided ^vpsv++by+xvbn+=provided
by ^in++++=by
the ^ati++++=the
school ^nn++++=school.
. ^zz++++=EXTRAWORD
