Two ^cd++++=Two
Ministers ^nns++++=Ministers
of ^in++++=of
Health ^nn++++=Health,
, ^zz++++=EXTRAWORD
Luiz ^np+++??+=Luiz
Henrique ^np++++=Henrique
Mandetta ^np+++??+=Mandetta
and ^cc++++=and
Nelson ^np++++=Nelson
Teich ^np+++??+=Teich,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
removed ^vpsv++agls+xvbnx+=removed
from ^in++++=from
their ^pp$+pp3+++=their
positions ^nns++++=positions
on ^in++++=on
April ^nr++++=April
16 ^cd++++=16
and ^cc++++=and
May ^md+pos+++=May
15 ^cd++++=15,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
both ^abx++++=both
advocated ^jj+++xvbn+=advocated
for ^in++++=for
additional ^jj+atrb+++=additional
studies ^nns++++=studies
before ^in++++=before
approving ^xvbg+++xvbg+=approving
hydroxychloroquine ^nn+++??+=hydroxychloroquine
( ^zz++++=(HCQ)
hcq ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
treatment ^nn++++=treatment
for ^in++++=for
Covid ^np+++??+=COVID-19.
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
Teich ^np+++??+=Teich
s ^zz++++=s
resignation ^nn++++=resignation,
, ^zz++++=EXTRAWORD
President ^npt++++=President
Bolsonaro ^np+++??+=Bolsonaro
appointed ^vwbn+++xvbn+=appointed
active ^jj++++=active-duty
- ^zz++++=EXTRAWORD
duty ^nn++++=EXTRAWORD
Army ^nn++++=Army
General ^jj+atrb+++=General
Eduardo ^np+++??+=Eduardo
Pazuello ^np+++??+=Pazuello,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lacked ^vbd+++xvbn+=lacked
prior ^jj+atrb+++=prior
experience ^nn++++=experience
in ^in++++=in
healthcare ^nn+++??+=healthcare,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
new ^jj+atrb+++=new
Minister ^npt++++=Minister
of ^in++++=of
Health ^nn++++=Health
and ^cc++++=and
filled ^vbd+++xvbn+=filled
the ^ati++++=the
Ministry ^nn++++=Ministry
with ^in++++=with
military ^jj+atrb+++=military
personnel ^nns++++=personnel
expected ^vwbn+++xvbn+=expected
to ^to+vcmp+++=to
comply ^vbi++++=comply
with ^in++++=with
his ^pp$+pp3+++=his
directives ^nns+++??+=directives.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
Pazuello ^np+++??+=Pazuello
s ^zz++++=s
appointment ^nn++++=appointment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
confirmed ^vbn+vpub++xvbn+=confirmed
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
cases ^nns++++=cases
in ^in++++=in
Brazil ^np++++=Brazil
surpassed ^vwbn+++xvbn+=surpassed
one ^cd1++++=one
million ^cd++++=million,
, ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=making
it ^pp3+it+++=it
the ^ati++++=the
country ^nn++++=country
with ^in++++=with
the ^ati++++=the
second ^od++++=second
highest ^jjt+atrb+++=highest
case ^nn++++=case
count ^npt++++=count
globally ^nn+++??+=globally
after ^in++++=after
the ^ati++++=the
United ^np++++=United
States ^nns++++=States.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast
to ^in++++=to
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
( ^zz++++=(WHO)
who ^whp+who+++=EXTRAWORD
) ^zz++++=EXTRAWORD
recommendations ^nns++++=recommendations,
, ^zz++++=EXTRAWORD
Pazuello ^np+++??+=Pazuello
discontinued ^vwbn+++xvbn+=discontinued
contact ^nn++++=contact
tracing ^nn+++??+=tracing
policies ^nns++++=policies,
