Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
study ^nn++++=study
conducted ^vwbn+++xvbn+=conducted
by ^in++++=by
Garcia ^np++++=Garcia
and ^cc++++=and
Infante ^np+++??+=Infante
( ^zz++++=(2012),
2012 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Ramos ^np+++??+=Ramos
and ^cc++++=and
Serrano ^np+++??+=Serrano
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
implemented ^vbd+++xvbn+=implemented
their ^pp$+pp3+++=their
investigation ^nn++++=investigation
through ^in++++=through
a ^at++++=a
workshop ^nn++++=workshop
( ^zz++++=(extension
extension ^nn++++=EXTRAWORD
course ^rb++++=course)
) ^zz++++=EXTRAWORD
designed ^xvbn+++xvbn+=designed
for ^in++++=for
undergraduate ^nn++++=undergraduate
students ^nns++++=students.
. ^zz++++=EXTRAWORD
The ^ati++++=The
researchers ^nn++++=researchers
interviewed ^vwbn+++xvbn+=interviewed
undergraduate ^nn++++=undergraduate
chemistry ^nn++++=chemistry
students ^nns++++=students
following ^vwbg+++xvbg+=following
activities ^nns++++=activities
that ^tht+rel+subj++=that
involved ^vwbn+++xvbn+=involved
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
molecular ^jj+atrb+++=molecular
modeling ^nn+++??+=modeling
software ^nn+++??+=software.
. ^zz++++=EXTRAWORD
Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
approach ^nn++++=approach
described ^vwbn+++xvbn+=described
by ^in++++=by
Scherr ^np+++??+=Scherr
( ^zz++++=(2008),
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
interviews ^nns++++=interviews
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
explore ^vbi++++=explore
the ^ati++++=the
cognitive ^nn+++??+=cognitive
processes ^nns++++=processes
of ^in++++=of
the ^ati++++=the
students ^nns++++=students
as ^ql++++=as
they ^pp3a+pp3+++=they
responded ^vbd+++xvbnx+=responded
to ^in++++=to
the ^ati++++=the
questions ^nns++++=questions.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
researchers ^nn++++=researchers
sought ^vbd+++xvbn+=sought
to ^to++++=to
identify ^vbi++++=identify
connections ^nns++++=connections
between ^in++++=between
the ^ati++++=the
students ^nns++++=students'
' ^zz++++=EXTRAWORD
gestures ^nns++++=gestures
and ^cc++++=and
their ^pp$+pp3+++=their
mental ^jj+atrb+++=mental
representations ^nns++++=representations
during ^in++++=during
the ^ati++++=the
process ^nn++++=process
of ^in++++=of
answering ^nn++++=answering.
. ^zz++++=EXTRAWORD
