While ^cs+sub+++=While
some ^dti++++=some
scholars ^nns++++=scholars
characterize ^vb++++=characterize
brokers ^nns++++=brokers
as ^in++++=as
party ^nn++++=party
agents ^nns++++=agents
embedded ^vbd+++xvbn+=embedded
within ^in++++=within
large ^jj+atrb+++=large
and ^cc+phrs+++=and
dense ^jj+atrb+++=dense
networks ^nns++++=networks
typical ^jj++++=typical
of ^in++++=of
political ^jj+atrb+++=political
machines ^nns++++=machines
( ^zz++++=(Stokes
stokes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
others ^aps++++=others
contend ^vb+vpub+++=contend
that ^tht+vcmp+++=that
a ^at++++=a
broader ^jjr+atrb+++=broader
range ^nn++++=range
of ^in++++=of
broker ^nn++++=broker
profiles ^nns++++=profiles
emerges ^vbz++++=emerges
in ^in++++=in
more ^rbr++++=more
fluid ^nn++++=fluid
and ^cc++++=and
weakly ^rb++++=weakly
institutionalized ^jj+atrb++??+=institutionalized
party ^nn++++=party
systems ^nns++++=systems
( ^zz++++=(Aspinall,
aspinall ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Mu ^np+++??+=Mu
oz ^nnu++++=oz,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Mares ^nns++++=Mares
and ^cc++++=and
Young ^jj++++=Young,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Brokers ^np+++??+=Brokers
may ^md+pos+++=may
be ^vb+be+aux++=be
motivated ^vpsv++by+xvbnx+=motivated
by ^in++++=by
political ^jj++++=political,
, ^zz++++=EXTRAWORD
ethnic ^nn+++??+=ethnic,
, ^zz++++=EXTRAWORD
religious ^jj++++=religious,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
territorial ^jj+atrb+++=territorial
loyalties ^nns++++=loyalties,
, ^zz++++=EXTRAWORD
pursue ^vb++++=pursue
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
material ^nn++++=material
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
seek ^vb++++=seek
immediate ^jj+atrb+++=immediate
material ^nn++++=material
rewards ^nns++++=rewards
( ^zz++++=(Aspinall,
aspinall ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
prioritize ^nn+++??+=prioritize
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
groups ^nns++++=groups
( ^zz++++=(Holland
holland ^np++++=EXTRAWORD
and ^cc++++=and
Palmer ^np++++=Palmer-Rubin,
- ^zz++++=EXTRAWORD
rubin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
some ^dti++++=some
brokers ^nns++++=brokers
may ^md+pos+++=may
lack ^vb++++=lack
formal ^jj+atrb+++=formal
affiliations ^nns++++=affiliations
with ^in++++=with
parties ^nns++++=parties
or ^cc++++=or
organizations ^nns++++=organizations
and ^cc++++=and
operate ^vb++++=operate
as ^in++++=as
independent ^jj+atrb+++=independent
agents ^nns++++=agents,
, ^zz++++=EXTRAWORD
frequently ^rb++++=frequently
shifting ^jj+atrb++xvbg+=shifting
allegiances ^nns+++??+=allegiances
even ^rb++++=even
within ^in++++=within
the ^ati++++=the
same ^ap++++=same
electoral ^jj+atrb+++=electoral
cycle ^nn++++=cycle
( ^zz++++=(Mu
mu ^nn+++??+=EXTRAWORD
oz ^nnu++++=oz,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
aspinall ^np++++=Aspinall,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
novaes ^np++++=Novaes,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
