Table ^nn++++=Table
2 ^zz++++=2
presents ^vbz++++=presents
the ^ati++++=the
item ^nn++++=item
factor ^nn++++=factor
loadings ^nns++++=loadings,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
estimates ^nns++++=estimates
of ^in++++=of
the ^ati++++=the
replicability ^nn+++??+=replicability
of ^in++++=of
factor ^nn++++=factor
scores ^nns++++=scores
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
H ^zz++++=H-index.
- ^zz++++=EXTRAWORD
index ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
H ^zz++++=H-index
- ^zz++++=EXTRAWORD
index ^nn++++=EXTRAWORD
assesses ^vbz++++=assesses
the ^ati++++=the
degree ^nn++++=degree
to ^to++++=to
which ^whp+who+++=which
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
items ^nns++++=items
adequately ^rb++++=adequately
represents ^vbz++++=represents
a ^at++++=a
common ^jj+atrb+++=common
factor ^nn++++=factor
( ^zz++++=(Ferrando
ferrando ^nn+++??+=EXTRAWORD
& ^zz++++=&
Lorenzo ^np+++??+=Lorenzo-Seva,
- ^zz++++=EXTRAWORD
seva ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Values ^nns++++=Values
of ^in++++=of
H ^zz++++=H
greater ^jjr++++=greater
than ^in++++=than
0.80 ^nn+++??+=0.80
indicate ^vb+vprv+++=indicate
a ^at++++=a
well ^rb++++=well-defined
- ^zz++++=EXTRAWORD
defined ^vbn+vprv++xvbn+=EXTRAWORD
latent ^jj++++=latent
variable ^jj++++=variable
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
remain ^vbi++++=remain
stable ^nn++++=stable
across ^in+pl+++=across
different ^jj+atrb+++=different
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
lower ^jjr++++=lower
H ^zz++++=H
values ^nns++++=values
suggest ^vb+vpub+++=suggest
a ^at++++=a
poorly ^rb++++=poorly
defined ^jj+++xvbn+=defined
latent ^jj++++=latent
variable ^jj++++=variable
that ^dt+dem+++=that
may ^md+pos+++=may
vary ^vb++++=vary
across ^in+pl+++=across
studies ^nns++++=studies
( ^zz++++=(Ferrando
ferrando ^nn++++=EXTRAWORD
& ^zz++++=&
lorenzo ^np++++=Lorenzo-Seva,
- ^zz++++=EXTRAWORD
seva ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
