Although ^cs+con+++=Although
techniques ^nns++++=techniques
involving ^vwbg+++xvbg+=involving
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
sessions ^nns++++=sessions
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
previously ^rb+tm+splt++=previously
described ^vpsv++agls+xvbn+=described,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
methods ^nns++++=methods
present ^nn++++=present
challenges ^vbz++++=challenges
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
necessitate ^vb++++=necessitate
the ^ati++++=the
transportation ^nn++++=transportation
of ^in++++=of
indigenous ^jj+atrb+++=Indigenous
peoples ^nns++++=peoples
to ^in++++=to
urban ^jj+atrb+++=urban
centers ^nns++++=centers.
. ^zz++++=EXTRAWORD
