The ^ati++++=The
Special ^jj+atrb+++=Special
Secretariat ^nn++++=Secretariat
for ^in++++=for
Indigenous ^jj+atrb+++=Indigenous
Health ^nn++++=Health
( ^zz++++=(SESAI)
sesai ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health
is ^vbz+bez+vrb++=is
the ^ati++++=the
federal ^jj+atrb+++=federal
agency ^nn++++=agency
responsible ^jj++++=responsible
for ^in++++=for
coordinating ^jj++++=coordinating
and ^cc+phrs+++=and
implementing ^jj+++xvbg+=implementing
the ^ati++++=the
National ^jj+atrb+++=National
Policy ^nn++++=Policy
for ^in++++=for
indigenous ^jj+atrb+++=Indigenous
healthcare ^np++++=Healthcare
within ^in++++=within
the ^ati++++=the
unified ^jj+atrb+++=Unified
health ^nn++++=Health
system ^nn++++=System
( ^zz++++=(SUS).
sus ^nns++++=EXTRAWORD
). ^nn++++=EXTRAWORD
