Ordinarily ^rb+cnj+++=Ordinarily,
, ^zz++++=EXTRAWORD
conjunction ^nn++++=conjunction
is ^vbz+bez+aux++=is
not ^xnot++not++=not
considered ^vbd+vprv++xvbn+=considered
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
interpersonal ^nn+++??+=interpersonal
metafunction ^nn+++??+=metafunction;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analyst ^nn++++=analyst
includes ^vb++++=includes
this ^dt+dem+++=this
component ^nn++++=component
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
its ^pp$+it+++=its
communicative ^nn+++??+=communicative
role ^nn++++=role
in ^in++++=in
engaging ^xvbg+++xvbg+=engaging
viewers ^nns++++=viewers
in ^in++++=in
copresence ^nn+++??+=copresence,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
justifies ^vbz++++=justifies
its ^pp$+it+++=its
consideration ^nn++++=consideration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elements ^nns++++=elements
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Figure ^nn++++=Figure
6 ^zz++++=6
indicate ^vb+vprv+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
frequent ^jj+atrb+++=frequent
occurrence ^nn++++=occurrence
of ^in++++=of
nominal ^jj+atrb+++=nominal
items ^nns++++=items
within ^in++++=within
the ^ati++++=the
clauses ^nns++++=clauses
results ^nns++++=results
in ^in++++=in
the ^ati++++=the
residue ^nn++++=residue
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
most ^ql+emph+++=most
operational ^jj+atrb+++=operational
component ^nn++++=component
in ^in++++=in
Figure ^nn++++=Figure
10 ^cd++++=10.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
communicator ^nn+++??+=communicator
demonstrates ^vbz+vpub+++=demonstrates
a ^at++++=a
preference ^nn++++=preference
for ^in++++=for
using ^xvbg+++xvbg+=using
nouns ^nns++++=nouns
rather ^rb++++=rather
than ^in++++=than
verbal ^jj+atrb+++=verbal
devices ^nns++++=devices
to ^to++++=to
persuade ^vb++++=persuade
viewers ^nns++++=viewers.
. ^zz++++=EXTRAWORD
