Meanwhile ^rb+cnj+++=Meanwhile,
, ^zz++++=EXTRAWORD
vaccination ^nn++++=vaccination
presented ^vwbn+++xvbn+=presented
a ^at++++=a
political ^jj+atrb+++=political
opportunity ^nn++++=opportunity
for ^in++++=for
Doria ^np++++=Doria,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
pledged ^jj+++xvbn+=pledged
to ^to++++=to
supply ^vbi++++=supply
vaccines ^nns++++=vaccines
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
but ^cc++++=but
also ^rb++++=also
to ^in++++=to
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
The ^ati++++=The
demand ^nn++++=demand
for ^in++++=for
vaccines ^nns++++=vaccines
increased ^vbd+++xvbn+=increased
in ^in++++=in
January ^nr++++=January
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
consequences ^nns++++=consequences
of ^in++++=of
widespread ^nn++++=widespread
disregard ^vb++++=disregard
for ^in++++=for
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing
during ^in++++=during
New ^jj+atrb+++=New
Year ^nn++++=Year
celebrations ^nns++++=celebrations
became ^vbd+++xvbn+=became
evident ^jj++++=evident.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
time ^nn++++=time,
, ^zz++++=EXTRAWORD
a ^at++++=a
new ^jj+atrb+++=new
variant ^nn++++=variant
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
emerged ^vbd+++xvbn+=emerged
in ^in++++=in
Manaus ^np+++??+=Manaus,
, ^zz++++=EXTRAWORD
the ^ati++++=the
largest ^jjt+atrb+++=largest
city ^nn++++=city
in ^in++++=in
the ^ati++++=the
Amazon ^np+++??+=Amazon
region ^nn++++=region,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
approximately ^rb+down+++=approximately
40 ^cd++++=40%
% ^zz++++=EXTRAWORD
of ^in++++=of
residents ^nns++++=residents
lack ^nn++++=lack
access ^nn++++=access
to ^to++++=to
piped ^vbi++++=piped
water ^nn++++=water
and ^cc++++=and
face ^nn++++=face
shortages ^nns++++=shortages
of ^in++++=of
hospitals ^nns++++=hospitals
and ^cc++++=and
medical ^jj+atrb+++=medical
supplies ^nns++++=supplies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
outbreak ^nn++++=outbreak
in ^in++++=in
Manaus ^np+++??+=Manaus
raised ^vbd+++xvbn+=raised
significant ^jj+atrb+++=significant
concerns ^nns++++=concerns,
, ^zz++++=EXTRAWORD
even ^rb++++=even
among ^in++++=among
proponents ^nns++++=proponents
of ^in++++=of
herd ^nn++++=herd
immunity ^nn++++=immunity.
. ^zz++++=EXTRAWORD
Epidemiologists ^np+++??+=Epidemiologists
had ^vbd+hvd+aux++=had
estimated ^vprf+++xvbnx+=estimated
that ^tht+vcmp+++=that
the ^ati++++=the
infection ^nn++++=infection
rate ^nn++++=rate
in ^in++++=in
Manaus ^np+++??+=Manaus
following ^vwbg+++xvbg+=following
the ^ati++++=the
initial ^jj+atrb+++=initial
outbreak ^nn++++=outbreak
in ^in++++=in
March ^nn++++=March
2020 ^cd++++=2020
was ^vbd+bedz+vrb++=was
as ^ql++++=as
high ^np++++=high
as ^ql++++=as
76 ^cd++++=76%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
assumption ^nn++++=assumption
that ^tht+ncmp+++=that
prior ^jj+atrb+++=prior
infection ^nn++++=infection
conferred ^vbd+++xvbn+=conferred
immunity ^nn++++=immunity,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
considered ^vbd+vprv++xvbnx+=considered
a ^at++++=a
major ^jj+atrb+++=major
resurgence ^nn++++=resurgence
unlikely ^jj++++=unlikely.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
new ^jj+atrb+++=new
variant ^nn++++=variant
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
not ^xnot++not++=not
only ^rb+down+++=only
more ^rbr++++=more
transmissible ^nn+++??+=transmissible
but ^cc++++=but
also ^rb++++=also
capable ^jj++++=capable
of ^in++++=of
reinfecting ^nn+++??+=reinfecting
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
previously ^rb+tm+splt++=previously
recovered ^vprf+++xvbnx+=recovered
from ^in++++=from
other ^ap++++=other
variants ^nns++++=variants.
. ^zz++++=EXTRAWORD
By ^in++++=By
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
February ^nr++++=February
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
cases ^nns++++=cases
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
variant ^nn++++=variant
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbn+=identified
in ^in++++=in
21 ^cd++++=21
of ^in++++=of
brazil ^np++++=Brazil
s ^zz++++=s
26 ^cd++++=26
states ^nns++++=states.
. ^zz++++=EXTRAWORD
