According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Globocan ^np+++??+=Globocan
2020 ^cd++++=2020
report ^nn++++=report,
, ^zz++++=EXTRAWORD
one ^pn++++=one
in ^in++++=in
five ^cd++++=five
individuals ^nns++++=individuals
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
develop ^vbi++++=develop
cancer ^nn++++=cancer
during ^in++++=during
their ^pp$+pp3+++=their
lifetime ^nn++++=lifetime.
. ^zz++++=EXTRAWORD
The ^ati++++=The
report ^nn++++=report
estimated ^vbd+vprv+tht0+xvbn+=estimated
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
publication ^nn++++=publication,
, ^zz++++=EXTRAWORD
19.3 ^cd+date+++=19.3
million ^cd++++=million
people ^nns++++=people
worldwide ^nn+++??+=worldwide
were ^vbd+bed+aux++=were
living ^vbg+++xvbgx+=living
with ^in+ppvb+++=with
cancer ^nn++++=cancer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
10 ^cd++++=10
million ^cd++++=million
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
from ^in++++=from
the ^ati++++=the
disease ^nn++++=disease
( ^zz++++=(Sung
sung ^vprf+++xvbn+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
advancements ^nns+++??+=advancements
in ^in++++=in
cancer ^nn++++=cancer
diagnosis ^nn++++=diagnosis
and ^cc++++=and
treatment ^nn++++=treatment
have ^vb+hv+aux++=have
contributed ^vprf+++xvbnx+=contributed
to ^to++++=to
increased ^vbi++++=increased
survival ^nn++++=survival
rates ^nns++++=rates
( ^zz++++=(Sung
sung ^vprf+++xvbn+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021;
; ^zz++++=EXTRAWORD
Tsichlakidou ^np+++??+=Tsichlakidou
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
a ^at++++=a
growing ^jj+atrb++xvbg+=growing
population ^nn++++=population
of ^in++++=of
cancer ^nn++++=cancer
survivors ^nns++++=survivors
who ^whp+rel+subj++=who
are ^vb+ber+aux++=are
at ^rb++splt++=at
risk ^vb++++=risk
for ^in++++=for
chronic ^jj+atrb+++=chronic
complications ^nns++++=complications
related ^vbd+++xvbn+=related
to ^in++++=to
both ^abx++++=both
disease ^nn++++=disease
progression ^nn++++=progression
and ^cc++++=and
treatment ^nn++++=treatment.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
complications ^nns++++=complications
include ^vb++++=include
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
( ^zz++++=(MFWs)
mfws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Hoshi
hoshi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
tilley ^np++++=Tilley
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
