Insects ^nns++++=Insects
were ^vbd+bed+aux++=were
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
experienced ^vbd+++xvbn+=experienced
taxonomists ^nns+++??+=taxonomists
using ^vwbg+++xvbg+=using
identification ^nn++++=identification
keys ^nns++++=keys
available ^jj++++=available
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
[ ^zz++++=[2,3].
2,3 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
dataset ^nn+++??+=dataset
is ^vbz+bez+vrb++=is
formatted ^nn+++??+=formatted
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
Darwin ^np++++=Darwin
Core ^nn++++=Core
standard ^jj++++=standard,
, ^zz++++=EXTRAWORD
with ^in++++=with
41 ^cd++++=41
terms ^nns++++=terms
included ^vbd+++xvbn+=included
for ^in++++=for
the ^ati++++=the
Suruwaha ^np+++??+=Suruwaha
dataset ^nn+++??+=dataset
and ^cc++++=and
39 ^cd++++=39
terms ^nns++++=terms
for ^in++++=for
the ^ati++++=the
Waj ^np+++??+=Waj
p ^zz++++=p
dataset ^nn+++??+=dataset.
. ^zz++++=EXTRAWORD
All ^abn++++=All
mandatory ^jj+atrb+++=mandatory
fields ^nns++++=fields
are ^vb+ber+aux++=are
present ^vb++++=present
and ^cc++++=and
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
screened ^vpsv++agls+xvbnx+=screened
in ^in++++=in
the ^ati++++=the
Fiocruz ^np+++??+=FIOCRUZ
Ipt ^np+++??+=IPT,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
metadata ^nn+++??+=metadata
fields ^nns++++=fields
are ^vb+ber+vrb++=are
also ^rb++++=also
accessible ^jj+pred+++=accessible
on ^in++++=on
the ^ati++++=the
corresponding ^jj+atrb+++=corresponding
online ^nn++++=online
pages ^nns++++=pages.
. ^zz++++=EXTRAWORD
