Based ^xvbn+++xvbn+=Based
on ^in++++=on
our ^pp$+pp1+++=our
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
question ^nn++++=question
the ^ati++++=the
adequacy ^nn++++=adequacy
of ^in++++=of
the ^ati++++=the
pure ^jj++++=pure
principal ^jjb++++=principal-agent
- ^zz++++=EXTRAWORD
agent ^nn++++=EXTRAWORD
model ^nn++++=model
as ^in++++=as
a ^at++++=a
framework ^nn++++=framework
for ^in++++=for
analyzing ^nn+++??+=analyzing
the ^ati++++=the
relationships ^nns++++=relationships
between ^in++++=between
legislators ^nns+++??+=legislators
and ^cc++++=and
local ^jj+atrb+++=local
brokers ^nns++++=brokers
in ^in++++=in
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
propose ^vb++++=propose
four ^cd++++=four
avenues ^nns++++=avenues
for ^in++++=for
future ^jjb+atrb+++=future
research ^nn++++=research
that ^tht+rel+obj++=that
may ^md+pos+++=may
enhance ^vb++++=enhance
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
aspects ^nns++++=aspects
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
overlooked ^vpsv++agls+xvbn+=overlooked
in ^in++++=in
the ^ati++++=the
existing ^jj+atrb+++=existing
literature ^nn++++=literature
on ^in++++=on
this ^dt+dem+++=this
topic ^nn++++=topic.
. ^zz++++=EXTRAWORD
