Only ^rb+down+++=Only
one ^cd1++++=one
case ^nn++++=case
study ^nn++++=study
( ^zz++++=(1.4%)
1.4 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Maida,
maida ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
medicinal ^jj+atrb+++=medicinal
cannabis ^nns+++??+=cannabis,
, ^zz++++=EXTRAWORD
administered ^j+++xvbn+=administered
both ^abx++++=both
as ^in++++=as
a ^at++++=a
topical ^jj+atrb+++=topical
and ^cc+phrs+++=and
vaporized ^jj+atrb++??+=vaporized
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
as ^in++++=as
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
pain ^nn++++=pain
management ^nn++++=management
strategy ^nn++++=strategy
for ^in++++=for
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
( ^zz++++=(MFW).
mfw ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
case ^nn++++=case
involved ^vbd+++xvbn+=involved
a ^at++++=a
44 ^cd++++=44-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
male ^jj+atrb+++=male
patient ^nn++++=patient
with ^in++++=with
squamous ^nns+++??+=squamous
cell ^nn++++=cell
carcinoma ^nn+++??+=carcinoma
of ^in++++=of
the ^ati++++=the
oral ^jj+atrb+++=oral
cavity ^nn++++=cavity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
resulted ^vbd+++xvbn+=resulted
in ^in++++=in
an ^at++++=an
Mfw ^np+++??+=MFW
on ^in++++=on
the ^ati++++=the
right ^jj+atrb+++=right
hemiface ^nn+++??+=hemiface.
. ^zz++++=EXTRAWORD
The ^ati++++=The
patient ^nn++++=patient
initially ^rb+tm+++=initially
reported ^vbd+vpub++xvbn+=reported
severe ^jj+atrb+++=severe
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
with ^in++++=with
scores ^nns++++=scores
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
9 ^zz++++=9
to ^to++++=to
10 ^cd++++=10
out ^rp+pl+++=out
of ^in++++=of
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
receiving ^vbg+++xvbgx+=receiving
intravenous ^jj+atrb+++=intravenous
analgesia ^nn+++??+=analgesia.
. ^zz++++=EXTRAWORD
Following ^jj+++xvbg+=Following
the ^ati++++=the
administration ^nn++++=administration
of ^in++++=of
vaporized ^nn+++??+=vaporized
medicinal ^jj+atrb+++=medicinal
cannabis ^nns+++??+=cannabis
every ^at++++=every
2 ^zz++++=2
to ^to++++=to
4 ^zz++++=4
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
1 ^zz++++=1
2 ^zz++++=2
ml ^nnu++++=ml
of ^in++++=of
cannabis ^nns+++??+=cannabis
oil ^nn++++=oil
to ^in++++=to
the ^ati++++=the
wound ^xvbn+++xvbn+=wound
both ^abx++++=both
externally ^rb++++=externally
and ^cc+phrs+++=and
intra ^rb++++=intra-orally
- ^zz++++=EXTRAWORD
orally ^rb++++=EXTRAWORD
prior ^jj++++=prior
to ^to++++=to
dressing ^vbi++++=dressing
changes ^nns++++=changes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
patient ^nn++++=patient
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
pain ^nn++++=pain
scores ^nns++++=scores
to ^to++++=to
3 ^zz++++=3
or ^cc++++=or
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
improvement ^nn++++=improvement
facilitated ^vwbn+++xvbn+=facilitated
adjustments ^nns++++=adjustments
to ^in++++=to
the ^ati++++=the
analgesic ^jj+atrb+++=analgesic
regimen ^nn+++??+=regimen.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
case ^nn++++=case
represents ^vbz++++=represents
the ^ati++++=the
first ^od++++=first
report ^vb++++=report
suggesting ^vbg+vpub++xvbg+=suggesting
the ^ati++++=the
potential ^jj+atrb+++=potential
efficacy ^nn++++=efficacy
of ^in++++=of
topical ^jj+atrb+++=topical
medicinal ^jj+atrb+++=medicinal
cannabis ^nns+++??+=cannabis
in ^in++++=in
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
mfw ^np++++=MFW-related
- ^zz++++=EXTRAWORD
related ^vpsv++agls+xvbn+=EXTRAWORD
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
