Players ^nns++++=Players
were ^vbd+bed+aux++=were
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
four ^cd++++=four
groups ^nns++++=groups
based ^vwbn+++xvbn+=based
on ^in++++=on
their ^pp$+pp3+++=their
field ^nn++++=field
positions ^nns++++=positions:
: ^zz++++=EXTRAWORD
Goalkeepers ^np+++??+=Goalkeepers
( ^zz++++=(n=2),
n=2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Defenders ^nns++++=Defenders
( ^zz++++=(n=7),
n=7 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Midfielders ^np+++??+=Midfielders
( ^zz++++=(n=7),
n=7 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Forwards ^nns++++=Forwards
( ^zz++++=(n=2).
n=2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
presence ^nn++++=presence
values ^nns++++=values
for ^in++++=for
each ^ppls++++=each
Pmsl ^np+++??+=PMSL
factor ^nn++++=factor,
, ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
by ^in++++=by
Engelmann ^np+++??+=Engelmann
( ^zz++++=(1986),
1986 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
multiplying ^xvbg+++xvbg+=multiplying
the ^ati++++=the
score ^nn++++=score
assigned ^vwbn+++xvbn+=assigned
by ^in++++=by
each ^dt++++=each
participant ^nn++++=participant
on ^in++++=on
the ^ati++++=the
scale ^nn++++=scale
next ^in+cmpx+++=next
to ^in"++++=to
each ^dt++++=each
locution ^nn+++??+=locution
by ^in++++=by
its ^pp$+it+++=its
corresponding ^jj+atrb++xvbg+=corresponding
correlation ^nn++++=correlation
coefficient ^nn++++=coefficient
( ^zz++++=(charge)
charge ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
factor ^nn++++=factor.
. ^zz++++=EXTRAWORD
To ^to++++=To
enable ^vbi++++=enable
comparisons ^nns++++=comparisons
among ^in++++=among
factors ^nns++++=factors
with ^in++++=with
different ^jj+atrb+++=different
numbers ^nns++++=numbers
of ^in++++=of
correlated ^vbd+++xvbn+=correlated
locutions ^nns+++??+=locutions,
, ^zz++++=EXTRAWORD
a ^at++++=a
standardization ^nn++++=standardization
procedure ^nn++++=procedure
was ^vbd+bedz+aux++=was
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
normalize ^nn+++??+=normalize
each ^dt++++=each
presence ^nn++++=presence
value ^nn++++=value
to ^in++++=to
a ^at++++=a
0 ^zz++++=0
1 ^zz++++=1
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
for ^in++++=for
each ^ppls++++=each
Pmsl ^np+++??+=PMSL
factor ^nn++++=factor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maximum ^jj+atrb+++=maximum
possible ^jj+atrb+++=possible
value ^nn++++=value
was ^vbd+bedz+aux++=was
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
multiplying ^xvbg+++xvbg+=multiplying
all ^abn++++=all
positive ^jj+atrb+++=positive
charges ^nns++++=charges
by ^in++++=by
5 ^zz++++=5
( ^zz++++=(the
the ^ati++++=EXTRAWORD
maximum ^jj+atrb+++=maximum
value ^nn++++=value
on ^in++++=on
the ^ati++++=the
Pmsl ^np+++??+=PMSL
scale ^nn++++=scale)
) ^zz++++=EXTRAWORD
and ^cc++++=and
all ^rb++++=all
negative ^jj+atrb+++=negative
charges ^nns++++=charges
by ^in++++=by
1 ^zz++++=1
( ^zz++++=(the
the ^ati++++=EXTRAWORD
minimum ^jj+atrb+++=minimum
value ^nn++++=value
on ^in++++=on
the ^ati++++=the
Leap ^nn++++=LEAP
scale ^nn++++=scale),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
calculating ^xvbg+++xvbg+=calculating
the ^ati++++=the
mean ^nn++++=mean
of ^in++++=of
these ^dt+dem+++=these
values ^nns++++=values.
. ^zz++++=EXTRAWORD
Conversely ^rb+cnj+++=Conversely,
, ^zz++++=EXTRAWORD
the ^ati++++=the
minimum ^jj+atrb+++=minimum
possible ^jj+atrb+++=possible
value ^nn++++=value
was ^vbd+bedz+aux++=was
calculated ^vpsv++by+xvbnx+=calculated
by ^in++++=by
multiplying ^xvbg+++xvbg+=multiplying
positive ^jj+atrb+++=positive
charges ^nns++++=charges
by ^in++++=by
1 ^zz++++=1
and ^cc++++=and
negative ^jj+atrb+++=negative
charges ^nns++++=charges
by ^in++++=by
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
computing ^j++++=computing
the ^ati++++=the
mean ^nn++++=mean.
. ^zz++++=EXTRAWORD
The ^ati++++=The
minimum ^jj+atrb+++=minimum
value ^nn++++=value
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
adjusted ^vpsv++agls+xvbnx+=adjusted
to ^in++++=to
0 ^zz++++=0,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
maximum ^jj+atrb+++=maximum
value ^nn++++=value
was ^vbd+bedz+aux++=was
adjusted ^vpsv++agls+xvbnx+=adjusted
accordingly ^rb++++=accordingly
to ^to++++=to
maintain ^vbi+vpub+++=maintain
the ^ati++++=the
scale ^nn++++=scale
proportion ^nn++++=proportion
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
the ^ati++++=the
minimum ^jj+atrb+++=minimum
value ^nn++++=value
was ^vbd+bedz+aux++=was
shifted ^vpsv++agls+xvbnx+=shifted
from ^in++++=from
2 ^zz++++=2
to ^in++++=to
0 ^zz++++=0,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maximum ^jj+atrb+++=maximum
value ^nn++++=value
was ^vbd+bedz+aux++=was
reduced ^vpsv++by+xvbnx+=reduced
by ^in++++=by
2 ^zz++++=2
as ^in++++=as
well ^rb++++=well).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
adjusted ^jj+atrb++xvbn+=adjusted
maximum ^nn++++=maximum
value ^nn++++=value
was ^vbd+bedz+aux++=was
then ^rn+tm+splt++=then
set ^jj++agls+xvbnx+=set
to ^to+jcmp+++=to
1 ^zz++++=1
by ^in++++=by
