Eleven ^cd++++=Eleven
studies ^nns++++=studies
( ^zz++++=(15.7%)
15.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
addressed ^xvbn+++xvbn+=addressed
therapies ^nns+++??+=therapies
for ^in++++=for
pain ^nn++++=pain
management ^nn++++=management
in ^in++++=in
the ^ati++++=the
periwound ^nn+++??+=periwound
skin ^nn++++=skin
area ^nn++++=area.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
designs ^nns++++=designs
included ^vbd+++xvbn+=included
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
( ^zz++++=(63.7%),
63.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
case ^nn++++=case
studies ^nns++++=studies
( ^zz++++=(18.1%),
18.1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
guidelines ^nns+++??+=guidelines
( ^zz++++=(9.1%),
9.1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
surveys ^nns++++=surveys
( ^zz++++=(9.1%).
9.1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
therapies ^nn++++=therapies
evaluated ^vwbn+++xvbn+=evaluated
comprised ^vbd+++xvbn+=comprised
zinc ^nn++++=zinc
oxide ^nn++++=oxide
( ^zz++++=(ointment
ointment ^nn++++=EXTRAWORD
and ^cc++++=and
cream ^nn++++=cream),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
silicone ^nn+++??+=silicone,
, ^zz++++=EXTRAWORD
dimethicone ^nn+++??+=dimethicone,
, ^zz++++=EXTRAWORD
petrolatum ^nn+++??+=petrolatum,
, ^zz++++=EXTRAWORD
acrylate ^nn+++??+=acrylate
and ^cc++++=and
cyanoacrylate ^nn+++??+=cyanoacrylate,
, ^zz++++=EXTRAWORD
hydrocolloid ^nn+++??+=hydrocolloid
( ^zz++++=(paste
paste ^nn++++=EXTRAWORD
and ^cc++++=and
powder ^nn++++=powder),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vitamin ^nn++++=vitamin-rich
- ^zz++++=EXTRAWORD
rich ^jj+atrb+++=EXTRAWORD
ointments ^nns++++=ointments
( ^zz++++=(A
a ^at++++=EXTRAWORD
and ^cc++++=and
D ^zz++++=D),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+vrb++=were
components ^nns++++=components
of ^in++++=of
pain ^nn++++=pain-control
- ^zz++++=EXTRAWORD
control ^nn++++=EXTRAWORD
protocols ^nns++++=protocols.
. ^zz++++=EXTRAWORD
All ^abn++++=All
studies ^nns++++=studies
were ^vbd+bed+aux++=were
led ^vpsv++by+xvbnx+=led
by ^in++++=by
nurses ^nns++++=nurses
and ^cc++++=and
published ^vpsv++agls+xvbn+=published
in ^in++++=in
journals ^nns++++=journals
focused ^vbd+++xvbn+=focused
on ^in++++=on
wounds ^nns++++=wounds,
, ^zz++++=EXTRAWORD
palliative ^jj+atrb+++=palliative
care ^nn++++=care,
, ^zz++++=EXTRAWORD
oncology ^nn+++??+=oncology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
general ^jj+atrb+++=general
nursing ^nn++++=nursing.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
studies ^nns++++=studies
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
assessment ^nn++++=assessment
of ^in++++=of
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
utilizing ^nn+++??+=utilizing
a ^at++++=a
Visual ^jj+atrb+++=Visual
Analog ^np+++??+=Analog
Scale ^nn++++=Scale
as ^in++++=as
the ^ati++++=the
measurement ^nn++++=measurement
instrument ^nn++++=instrument.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
positive ^jj+atrb+++=positive
outcomes ^nns+++??+=outcomes
were ^vbd+bed+aux++=were
noted ^vpsv++agls+xvbnx+=noted,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
results ^nns++++=results
were ^vbd+bed+aux++=were
not ^xnot++not++=not
described ^vpsv++agls+xvbn+=described
in ^in++++=in
detail ^nn++++=detail
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
11 ^cd++++=11).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
