Initially ^rb+cnj+++=Initially,
, ^zz++++=EXTRAWORD
Modi ^np+++??+=Modi
and ^cc++++=and
several ^ap++++=several
Indian ^jj+atrb+++=Indian
authorities ^nns++++=authorities
characterized ^nn+++??+=characterized
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
universal ^jj+atrb+++=universal
threat ^nn++++=threat,
, ^zz++++=EXTRAWORD
emphasizing ^vbg+++xvbg+=emphasizing
its ^pp$+it+++=its
potential ^nn++++=potential
to ^to+ncmp+++=to
infect ^vbi++++=infect
individuals ^nns++++=individuals
regardless ^rb++++=regardless
of ^in++++=of
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
race ^nn++++=race,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
nationality ^nn++++=nationality.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
health ^nn++++=health
directives ^nns+++??+=directives
regarding ^in++++=regarding
social ^jj+atrb+++=social
distancing ^nn+++??+=distancing,
, ^zz++++=EXTRAWORD
home ^nr++++=home
quarantine ^nn++++=quarantine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hand ^nn++++=hand-washing
- ^zz++++=EXTRAWORD
washing ^vbg+++xvbg+=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
adequately ^rb++++=adequately
consider ^vb+vprv+++=consider
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
caste ^nn++++=caste-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
disparities ^nns+++??+=disparities
on ^in++++=on
access ^nn++++=access
to ^in++++=to
sanitary ^jj+atrb+++=sanitary
housing ^nn++++=housing
and ^cc++++=and
potable ^jj+atrb++??+=potable
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Effective ^jj+atrb+++=Effective
home ^nr++++=home
quarantine ^nn++++=quarantine
necessitated ^vbd+++xvbn+=necessitated
the ^ati++++=the
availability ^nn++++=availability
of ^in++++=of
a ^at++++=a
separate ^jj++++=separate,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-ventilated
- ^zz++++=EXTRAWORD
ventilated ^vbd+++xvbn+=EXTRAWORD
room ^nn++++=room
for ^in++++=for
those ^dt+dem+++=those
isolating ^nvbg+++xvbg+=isolating,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
17 ^cd++++=17%
% ^zz++++=EXTRAWORD
of ^in++++=of
Dalit ^np+++??+=Dalit
households ^nns++++=households
lacked ^vbd+++xvbn+=lacked
adequate ^jj+atrb+++=adequate
ventilation ^nn++++=ventilation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nearly ^rb+down+++=nearly
71 ^cd++++=71%
% ^zz++++=EXTRAWORD
of ^in++++=of
Dalits ^np+++??+=Dalits
could ^md+pos+++=could
not ^xnot++not++=not
afford ^vb++++=afford
frequent ^jj+atrb+++=frequent
hand ^nn++++=hand-washing
- ^zz++++=EXTRAWORD
washing ^nvbg+++xvbg+=EXTRAWORD
with ^in++++=with
soap ^nn++++=soap.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
pre ^nn+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^vbg+++xvbg+=EXTRAWORD
social ^jj+atrb+++=social
inequalities ^nns++++=inequalities
contributed ^vbd+++xvbn+=contributed
to ^to++++=to
varying ^vbg+++xvbg+=varying
levels ^nns++++=levels
of ^in++++=of
exposure ^nn++++=exposure
to ^in++++=to
the ^ati++++=the
pandemic ^nn++++=pandemic
among ^in++++=among
different ^jj+atrb+++=different
social ^jj+atrb+++=social
groups ^nns++++=groups
in ^in++++=in
india ^np++++=India.
. ^zz++++=EXTRAWORD
