[ ^zz++++=[...]
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
Through ^in++++=Through
physical ^jj+atrb+++=physical
education ^nn++++=education
( ^zz++++=(PE),
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promote ^vb++++=promote
health ^nn++++=health.
. ^zz++++=EXTRAWORD
Pe ^np+++??+=PE
involves ^vbz++++=involves
activities ^nns++++=activities
that ^tht+rel+obj++=that
support ^nn++++=support
both ^abx++++=both
mental ^jj++++=mental
and ^cc+phrs+++=and
physical ^jj++++=physical
well ^rb++++=well-being.
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
. ^zz++++=EXTRAWORD
By ^in++++=By
incorporating ^xvbg+++xvbg+=incorporating
playful ^jj+atrb+++=playful
games ^nns++++=games,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
facilitate ^vb++++=facilitate
this ^dt+dem+++=this
connection ^nn++++=connection.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
classes ^nns++++=classes,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
sometimes ^rb++++=sometimes
play ^nn++++=play
' ^zz++++='queimada,'
queimada ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
soccer ^nn++++=soccer,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
participate ^vb++++=participate
in ^in++++=in
group ^nn++++=group
activities ^nns++++=activities
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
' ^zz++++='cotia'
cotia ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
wheel ^vb++++=wheel.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
activities ^nns++++=activities
enable ^vb++++=enable
children ^nns++++=children
to ^to++++=to
exercise ^vbi++++=exercise,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
supporting ^vbg+++xvbg+=supporting
their ^pp$+pp3+++=their
physical ^jj+atrb+++=physical
health ^nn++++=health,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
also ^rb++++=also
contributing ^jj+++xvbg+=contributing
to ^in++++=to
their ^pp$+pp3+++=their
mental ^jj++++=mental
well ^rb++++=well-being
- ^zz++++=EXTRAWORD
being ^vb+be+vrb++=EXTRAWORD
( ^zz++++=(Sofia
sofia ^nn++++=EXTRAWORD
manager ^nn++++=Manager).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
