Hlma1 ^np+++??+=HLMA1
presents ^vbz++++=presents
the ^ati++++=the
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
Institute ^npl++++=Institute,
, ^zz++++=EXTRAWORD
social ^jj+atrb+++=social
actors ^nns++++=actors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
toilet ^nn++++=toilet
as ^in++++=as
the ^ati++++=the
primary ^jj+atrb+++=primary
elements ^nns++++=elements
of ^in++++=of
the ^ati++++=the
communication ^nn++++=communication
setting ^vwbg+++xvbg+=setting,
, ^zz++++=EXTRAWORD
accompanied ^xvbn+++xvbn+=accompanied
by ^in++++=by
the ^ati++++=the
statement ^nn++++=statement,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
clean ^vb++++=clean
your ^pp$+pp2+++=your
toilet ^nn++++=toilet
every ^at++++=every
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
comparison ^nn++++=comparison
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
both ^abx++++=both
toilets ^nns+++??+=toilets
and ^cc++++=and
teeth ^nns++++=teeth
require ^vb+vsua+++=require
daily ^jj++++=daily
cleaning ^jj+++xvbg+=cleaning
to ^to++++=to
maintain ^vbi+vpub+++=maintain
hygiene ^nn++++=hygiene
and ^cc++++=and
prevent ^vb++++=prevent
unpleasant ^jj+atrb+++=unpleasant
odors ^nns+++??+=odors.
. ^zz++++=EXTRAWORD
The ^ati++++=The
advertisement ^nn++++=advertisement
encourages ^vbz++++=encourages
viewers ^nns++++=viewers
to ^to++++=to
use ^vbi++++=use
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
specifically ^rb+cnj+++=specifically,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
alternative ^jj+atrb+++=alternative
products ^nns++++=products,
, ^zz++++=EXTRAWORD
to ^to++++=to
achieve ^vbi++++=achieve
strong ^jj+atrb+++=strong
and ^cc+phrs+++=and
healthy ^jj+atrb+++=healthy
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
advertisement ^nn++++=advertisement,
, ^zz++++=EXTRAWORD
Oral ^jj++++=Oral-B
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
provides ^vbz+vsua+++=provides
users ^nns++++=users
with ^in++++=with
long ^jj++++=long-lasting
- ^zz++++=EXTRAWORD
lasting ^jj+atrb++xvbg+=EXTRAWORD
fresh ^jj+atrb+++=fresh
breath ^nn++++=breath
for ^in++++=for
up ^rp++++=up
to ^to++++=to
14 ^cd++++=14
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
The ^ati++++=The
advertisement ^nn++++=advertisement
employs ^vbz++++=employs
visual ^jj+atrb+++=visual
cues ^nns+++??+=cues
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
sagittal ^nn+++??+=sagittal
head ^jjb+atrb+++=head
movement ^nn++++=movement,
, ^zz++++=EXTRAWORD
the ^ati++++=the
act ^nn++++=act
of ^in++++=of
holding ^xvbg+++xvbg+=holding
a ^at++++=a
toothbrush ^nn+++??+=toothbrush,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
the ^ati++++=the
right ^jj+atrb+++=right
hand ^nn++++=hand
to ^to++++=to
reinforce ^vbi++++=reinforce
and ^cc+phrs+++=and
persuade ^vb++++=persuade
viewers ^nns++++=viewers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
presence ^nn++++=presence
of ^in++++=of
two ^cd++++=two
social ^jj+atrb+++=social
actors ^nns++++=actors,
, ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
as ^ql++++=as
dentists ^nns++++=dentists,
, ^zz++++=EXTRAWORD
further ^jjb++++=further
supports ^vbz++++=supports
the ^ati++++=the
product ^nn++++=product's
's ^$++++=EXTRAWORD
credibility ^nn+++??+=credibility;
; ^zz++++=EXTRAWORD
Social ^jj+atrb+++=Social
Actor ^nn++++=Actor
2 ^zz++++=2
explicitly ^rb++++=explicitly
endorses ^vbz++++=endorses
the ^ati++++=the
cleaning ^jj+atrb++xvbg+=cleaning
efficacy ^nn++++=efficacy
of ^in++++=of
Oral ^jj++++=Oral-B,
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
both ^abx++++=both
actors ^nns++++=actors
collaborate ^vb++++=collaborate
to ^to++++=to
promote ^vbi++++=promote
the ^ati++++=the
product ^nn++++=product
in ^in++++=in
a ^at++++=a
coordinated ^jj+atrb+++=coordinated
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
