Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
Bracht ^np+++??+=Bracht
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
physical ^jj+atrb+++=physical
education ^nn++++=education
( ^zz++++=(PE)
pe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
an ^at++++=an
extension ^nn++++=extension
of ^in++++=of
the ^ati++++=the
medical ^jj+atrb+++=medical
institution ^nn++++=institution,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
functioning ^vbg+++xvbg+=functioning
through ^in++++=through
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
physical ^jj+atrb+++=physical
exercises ^nns++++=exercises.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Rigo ^np+++??+=Rigo,
, ^zz++++=EXTRAWORD
Pardo ^np+++??+=Pardo,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Silveira ^np+++??+=Silveira
( ^zz++++=(2007),
2007 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
viewpoint ^nn++++=viewpoint
contributed ^vbd+++xvbn+=contributed
to ^in++++=to
the ^ati++++=the
categorization ^nn+++??+=categorization
of ^in++++=of
individuals ^nns++++=individuals
within ^in++++=within
society ^nn++++=society
and ^cc++++=and
schools ^nns++++=schools
as ^ql++++=as
either ^dtx++++=either
healthy ^jj++++=healthy
or ^cc+phrs+++=or
unhealthy ^jj++++=unhealthy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
more ^rbr++++=more
or ^cc+phrs+++=or
less ^rbr++++=less
skilled ^jj++++=skilled,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
increasing ^jj+++xvbg+=increasing
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
student ^nn++++=student
exclusion ^nn++++=exclusion.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
conceptualization ^nn+++??+=conceptualization
of ^in++++=of
Pe ^np+++??+=PE
has ^vbz+hvz+aux++=has
undergone ^vprf+++xvbn+=undergone
modifications ^nns++++=modifications
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
advancements ^nns+++??+=advancements
in ^in++++=in
the ^ati++++=the
human ^jj+atrb+++=human
and ^cc+phrs+++=and
social ^jj+atrb+++=social
sciences ^nns++++=sciences,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
fields ^nns++++=fields
related ^vbd+++xvbn+=related
to ^in++++=to
health ^nn++++=health,
, ^zz++++=EXTRAWORD
since ^in++++=since
its ^pp$+it+++=its
initial ^jj+atrb+++=initial,
, ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=limited
framework ^nn++++=framework
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi++vrb++=be
insufficient ^jj+pred+++=insufficient
in ^in++++=in
addressing ^xvbg+++xvbg+=addressing
the ^ati++++=the
various ^jj+atrb+++=various
influencing ^jj+atrb++xvbg+=influencing
factors ^nns++++=factors
( ^zz++++=(Paiva
paiva ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
