Based ^xvbn+++xvbn+=Based
on ^in++++=on
these ^dt+dem+++=these
considerations ^nns++++=considerations,
, ^zz++++=EXTRAWORD
the ^ati++++=the
research ^nn++++=research
questions ^nns++++=questions
guiding ^vwbg+++xvbg+=guiding
this ^dt+dem+++=this
study ^nn++++=study
are ^vb+ber+aux++=are
as ^ql++++=as
follows ^vbz+vprv+++=follows:
: ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
can ^md+pos+++=can
a ^at++++=a
blind ^jj+atrb+++=blind
student ^nn++++=student
learn ^vb+vprv+++=learn
an ^at++++=an
additional ^jj+atrb+++=additional
language ^nn++++=language
without ^in++++=without
access ^nn++++=access
to ^to++++=to
printed ^vbi++++=printed
didactic ^jj+atrb++??+=didactic
activities ^nns++++=activities
and ^cc++++=and
adapted ^xvbn+++xvbn+=adapted
materials ^nns++++=materials
in ^in++++=in
mainstream ^nn++++=mainstream
classrooms ^nns++++=classrooms?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
visual ^jj+atrb+++=visual
and ^cc+phrs+++=and
printed ^jj+atrb++xvbn+=printed
activities ^nns++++=activities
be ^vb+be+aux++=be
adapted ^vpsv++agls+xvbnx+=adapted
using ^vbg+++xvbg+=using
everyday ^jjb+atrb+++=everyday
materials ^nns++++=materials?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
strategies ^nns+++??+=strategies
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
to ^in++++=to
teachers ^vb++++=teachers
to ^to+vcmp+++=to
make ^vbi++++=make
English ^jj++++=English
as ^ql++++=as
an ^at++++=an
Additional ^jj+atrb+++=Additional
Language ^nn++++=Language
( ^zz++++=(EAL)
eal ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
printed ^xvbn+++xvbn+=printed
activities ^nns++++=activities
accessible ^jj++++=accessible
to ^in++++=to
blind ^jj+atrb+++=blind
students ^nns++++=students?
? ^zz++++=EXTRAWORD
To ^in++++=To
address ^nn++++=address
these ^dt+dem+++=these
questions ^nns++++=questions,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
proposes ^vbz+vsua+++=proposes
adaptations ^nns++++=adaptations
for ^in++++=for
didactic ^nn+++??+=didactic
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
on ^in++++=on
a ^at++++=a
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
literature ^nn++++=literature
concerning ^in++++=concerning
the ^ati++++=the
teaching ^jj+atrb++xvbg+=teaching
and ^cc+phrs+++=and
learning ^jj+atrb++xvbg+=learning
processes ^nns++++=processes
of ^in++++=of
blind ^jj+atrb+++=blind
students ^nns++++=students,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
presented ^vbd+++xvbn+=presented
following ^jj++++=following
the ^ati++++=the
methodology ^np++++=Methodology
section ^nn++++=section.
. ^zz++++=EXTRAWORD
