2 ^zz++++=2.
. ^zz++++=EXTRAWORD
Assembly ^nn++++=Assembly
and ^cc++++=and
construction ^nn++++=construction.
. ^zz++++=EXTRAWORD
The ^ati++++=The
behaviors ^nn++++=behaviors
examined ^vwbn+++xvbn+=examined
in ^in++++=in
this ^dt+dem+++=this
category ^nn++++=category
involve ^vb++++=involve
situations ^nns++++=situations
in ^in++++=in
which ^whp+rel+pied++=which
children ^nns++++=children,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
individually ^rb++++=individually
or ^cc++++=or
in ^in++++=in
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
seek ^vb++++=seek
out ^rp+pl+++=out
objects ^nns++++=objects
with ^in++++=with
the ^ati++++=the
intention ^nn++++=intention
of ^in++++=of
constructing ^xvbg+++xvbg+=constructing
something ^pn++++=something
according ^in+cmpx+++=according
to ^in"++++=to
a ^at++++=a
specific ^jj+atrb+++=specific
plan ^nn++++=plan
or ^cc++++=or
objective ^nn++++=objective,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
accomplish ^vb++++=accomplish
without ^in++++=without
encountering ^xvbg+++xvbg+=encountering
significant ^jj+atrb+++=significant
difficulties ^nns++++=difficulties.
. ^zz++++=EXTRAWORD
Examples ^nns++++=Examples
include ^vb++++=include
building ^nvbg+++xvbg+=building
a ^at++++=a
marble ^nn++++=marble
track ^nn++++=track
and ^cc++++=and
assembling ^vbg+++xvbg+=assembling
various ^jj+atrb+++=various
materials ^nns++++=materials
to ^to++++=to
create ^vb++++=create
a ^at++++=a
wigwam ^nn++++=wigwam.
. ^zz++++=EXTRAWORD
