Due ^jj+cmpx+++=Due
to ^to+jcmp+++=to
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
relevant ^jj+atrb+++=relevant
publications ^nns++++=publications
in ^in++++=in
Applied ^jj+atrb++xvbn+=Applied
Linguistics ^nn++++=Linguistics
journals ^nns++++=journals,
, ^zz++++=EXTRAWORD
the ^ati++++=the
search ^nn++++=search
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
the ^ati++++=the
Scientific ^jj+atrb+++=Scientific
Electronic ^jj+atrb+++=Electronic
Library ^nn++++=Library
Online ^np+++??+=Online
( ^zz++++=(SciELO)
scielo ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
The ^ati++++=The
search ^nn++++=search
strategy ^nn++++=strategy
required ^vbd+++xvbn+=required
that ^tht+vcmp+++=that
the ^ati++++=the
term ^nn++++=term
blind ^jj++++=blind
appear ^vb+seem+++=appear
in ^in++++=in
the ^ati++++=the
title ^nn++++=title,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
terms ^nns++++=terms
teaching ^vwbg+++xvbg+=teaching
and ^cc++++=and
school ^nn++++=school
be ^vb+be+aux++=be
present ^vb++++=present
in ^in++++=in
the ^ati++++=the
title ^nn++++=title,
, ^zz++++=EXTRAWORD
abstract ^jj++++=abstract,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
keywords ^nns+++??+=keywords.
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
filters ^nns+++??+=filters
were ^vbd+bed+aux++=were
applied ^vpsv++agls+xvbnx+=applied
to ^to++++=to
refine ^vbi++++=refine
the ^ati++++=the
results ^nns++++=results:
: ^zz++++=EXTRAWORD
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
journal ^nn++++=journal
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
related ^vbd+++xvbn+=related
to ^in++++=to
education ^nn++++=education;
; ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
texts ^nns++++=texts
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi++vrb++=be
open ^jj+atrb+++=open
access ^nn++++=access;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
only ^rb+down+++=only
articles ^nns++++=articles
or ^cc++++=or
review ^nn++++=review
articles ^nns++++=articles
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included,
, ^zz++++=EXTRAWORD
as ^in++++=as
specified ^nn++++=specified
in ^in++++=in
the ^ati++++=the
genre ^nn++++=genre
category ^nn++++=category
( ^zz++++=(Tipos
tipos ^nns+++??+=EXTRAWORD
de ^&fw++++=de
Literatura ^np+++??+=Literatura).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
this ^dt+dem+++=This
search ^nn++++=search
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
total ^nn++++=total
of ^in++++=of
nine ^cd++++=nine
papers ^nns++++=papers.
. ^zz++++=EXTRAWORD
