Eichengreen ^np+++??+=Eichengreen
and ^cc++++=and
Temin ^np+++??+=Temin
( ^zz++++=(2000)
2000 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
argue ^vb+vpub+++=argue
that ^tht+vcmp+++=that
the ^ati++++=the
Great ^jj+atrb+++=Great
Depression ^nn++++=Depression
led ^vbd+++xvbn+=led
to ^to++++=to
two ^cd++++=two
distinct ^jj+atrb+++=distinct
effects ^nns++++=effects
on ^in++++=on
the ^ati++++=the
prices ^nns++++=prices
of ^in++++=of
goods ^nns++++=goods
and ^cc++++=and
products ^nns++++=products
in ^in++++=in
countries ^nns++++=countries
adhering ^vwbg+++xvbg+=adhering
to ^in++++=to
the ^ati++++=the
gold ^nn++++=gold
standard ^nn++++=standard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
was ^vbd+bedz+vrb++=was
a ^at++++=a
deflationary ^jj+atrb+++=deflationary
trend ^nn++++=trend
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
a ^at++++=a
contraction ^nn++++=contraction
in ^in++++=in
the ^ati++++=the
money ^nn++++=money
supply ^nn++++=supply
( ^zz++++=(Drinot
drinot ^nn+++??+=EXTRAWORD
& ^zz++++=&
Knight ^nn++++=Knight,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Deflation ^np+++??+=Deflation
compelled ^vwbn+++xvbn+=compelled
industries ^nns++++=industries
to ^in++++=to
lower ^jjr+atrb+++=lower
production ^nn++++=production
costs ^nns++++=costs,
, ^zz++++=EXTRAWORD
either ^dtx++++=either
by ^in++++=by
reducing ^xvbg+++xvbg+=reducing
wages ^nns++++=wages
or ^cc++++=or
by ^in++++=by
decreasing ^xvbg+++xvbg+=decreasing
the ^ati++++=the
workforce ^nn+++??+=workforce
( ^zz++++=(Arnaut,
arnaut ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
deflationary ^jj+atrb+++=deflationary
trend ^nn++++=trend
ceased ^vbd+++xvbn+=ceased
when ^wrb+who+++=when
countries ^nns++++=countries
abandoned ^vbd+++xvbn+=abandoned
the ^ati++++=the
gold ^nn++++=gold
standard ^nn++++=standard,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
the ^ati++++=the
case ^nn++++=case
in ^in++++=in
Ecuador ^np+++??+=Ecuador
in ^in++++=in
1932 ^cd+date+++=1932.
. ^zz++++=EXTRAWORD
Subsequently ^rb+cnj+++=Subsequently,
, ^zz++++=EXTRAWORD
an ^at++++=an
inflationary ^jj+atrb+++=inflationary
trend ^nn++++=trend
emerged ^vbd+++xvbn+=emerged,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
the ^ati++++=the
gold ^nn++++=gold
standard ^jj+atrb+++=standard
eliminated ^jj+atrb++xvbn+=eliminated
legal ^jj+atrb+++=legal
constraints ^nns++++=constraints
on ^in++++=on
the ^ati++++=the
issuance ^nn++++=issuance
of ^in++++=of
new ^jj+atrb+++=new
currency ^nn++++=currency.
. ^zz++++=EXTRAWORD
