Following ^jj+++xvbg+=Following
the ^ati++++=the
approach ^nn++++=approach
of ^in++++=of
Pereira ^np+++??+=Pereira
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2019),
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
implemented ^vbd+++xvbn+=implemented
a ^at++++=a
two ^cd++++=two-phase
- ^zz++++=EXTRAWORD
phase ^nn++++=EXTRAWORD
process ^nn++++=process
for ^in++++=for
the ^ati++++=the
inclusion ^nn++++=inclusion
or ^cc++++=or
exclusion ^nn++++=exclusion
of ^in++++=of
articles ^nns++++=articles
during ^in++++=during
the ^ati++++=the
literature ^nn++++=literature
review ^nn++++=review.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
screened ^vbd+++xvbn+=screened
the ^ati++++=the
articles ^nns++++=articles
by ^in++++=by
reviewing ^xvbg+++xvbg+=reviewing
their ^pp$+pp3+++=their
titles ^nns++++=titles,
, ^zz++++=EXTRAWORD
abstracts ^nns+++??+=abstracts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keywords ^vbz+++??+=keywords
based ^vbd+++xvbn+=based
on ^in++++=on
predefined ^nn+++??+=predefined
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
second ^od++++=second
phase ^nn++++=phase,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
conducted ^vbd+++xvbn+=conducted
a ^at++++=a
full ^jj++++=full-text
- ^zz++++=EXTRAWORD
text ^nn++++=EXTRAWORD
review ^nn++++=review
of ^in++++=of
the ^ati++++=the
articles ^nns++++=articles
selected ^vwbn+++xvbn+=selected
in ^in++++=in
the ^ati++++=the
initial ^jj++++=initial
screening ^jj+++xvbg+=screening
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
classified ^jj+++xvbn+=classified
them ^pp3o+pp3+++=them
according ^in+cmpx+++=according
to ^in"++++=to
their ^pp$+pp3+++=their
relevance ^nn++++=relevance
and ^cc++++=and
thematic ^jj+atrb+++=thematic
similarities ^nns++++=similarities.
. ^zz++++=EXTRAWORD
