During ^in++++=During
the ^ati++++=the
decade ^nn++++=decade
under ^in++++=under
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
region ^nn++++=region
was ^vbd+bedz+aux++=was
affected ^vpsv++by+xvbnx+=affected
by ^in++++=by
the ^ati++++=the
most ^ql+emph+++=most
severe ^jj+atrb+++=severe
crisis ^nn++++=crisis
of ^in++++=of
the ^ati++++=the
twentieth ^od++++=twentieth
century ^nn++++=century,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Great ^jj+atrb+++=Great
Depression ^nn++++=Depression.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
various ^jj+atrb+++=various
indicators ^nns++++=indicators
of ^in++++=of
economic ^jj+atrb+++=economic
distress ^nn++++=distress
were ^vbd+bed+vrb++=were
evident ^jj+pred+++=evident
in ^in++++=in
the ^ati++++=the
Ecuadorian ^np+++??+=Ecuadorian
economy ^nn++++=economy,
, ^zz++++=EXTRAWORD
gross ^jj+atrb+++=gross
domestic ^jj+atrb+++=domestic
product ^nn++++=product
( ^zz++++=(GDP)
gdp ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
nonetheless ^rb+cnj+++=nonetheless
continued ^jj+++xvbn+=continued
to ^to++++=to
grow ^vbi++++=grow
at ^rb++++=at
a ^at++++=a
moderate ^jj+atrb+++=moderate
average ^nn++++=average
rate ^nn++++=rate
of ^in++++=of
1.5 ^cd++++=1.5%
% ^zz++++=EXTRAWORD
between ^in++++=between
1929 ^cd+date+++=1929
and ^cc++++=and
1934 ^cd+date+++=1934
( ^zz++++=(Morillo
morillo ^nn+++??+=EXTRAWORD
1996:687 ^cd++++=1996:687),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
recorded ^nn++++=recorded
decline ^vb++++=decline
in ^in++++=in
any ^dti++++=any
year ^nn++++=year
during ^in++++=during
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
the ^ati++++=the
crisis ^nn++++=crisis.
. ^zz++++=EXTRAWORD
