Anti ^np+++??+=Anti-inflammatory
- ^zz++++=EXTRAWORD
inflammatory ^jj+atrb+++=EXTRAWORD
dressings ^nns++++=dressings
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
consist ^vb++++=consist
of ^in++++=of
absorbent ^jj+atrb+++=absorbent
polyurethane ^nn+++??+=polyurethane
foam ^nn++++=foam
containing ^vwbg+++xvbg+=containing
0.5 ^nn+++??+=0.5
mg ^nnu++++=mg/cm
of ^in++++=of
ibuprofen ^nn+++??+=ibuprofen
uniformly ^rb++++=uniformly
distributed ^vbd+++xvbn+=distributed
throughout ^in++++=throughout
the ^ati++++=the
foam ^nn++++=foam
matrix ^nn++++=matrix,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
a ^at++++=a
cream ^nn++++=cream
formulation ^nn++++=formulation
incorporating ^vbg+++xvbg+=incorporating
essential ^jj+atrb+++=essential
oils ^nns++++=oils.
. ^zz++++=EXTRAWORD
