Thirty ^cd++++=Thirty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
studies ^nns++++=studies
( ^zz++++=(44.2%)
44.2 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
topically ^nn++++=topically
applied ^vwbn+++xvbn+=applied
opioids ^nns+++??+=opioids
to ^in++++=to
the ^ati++++=the
wound ^nn+++xvbn+=wound
bed ^nn++++=bed
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wound ^vbd+++xvbn+=wound
( ^zz++++=(MFW)-related
mfw) ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
designs ^nns++++=designs
included ^vbd+++xvbn+=included
non ^&fw++++=non-systematic
- ^zz++++=EXTRAWORD
systematic ^jj+atrb+++=EXTRAWORD
reviews ^nns++++=reviews
( ^zz++++=(67.7%),
67.7% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
case ^nn++++=case
studies ^nns++++=studies
( ^zz++++=(16.1%),
16.1% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
randomized ^nn+++??+=randomized
clinical ^jj+atrb+++=clinical
trials ^nns++++=trials
( ^zz++++=(0.06%)
0.06 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
including ^in++++=including
a ^at++++=a
letter ^nn++++=letter
to ^in++++=to
the ^ati++++=the
editor ^nn++++=editor
reporting ^vwbg+++xvbg+=reporting
data ^nns++++=data
from ^in++++=from
an ^at++++=an
unfinished ^jj+atrb+++=unfinished
trial ^nn++++=trial
guidelines ^nns+++??+=guidelines
( ^zz++++=(0.03%),
0.03% ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
prospective ^jj+atrb+++=prospective
cohort ^nn++++=cohort
studies ^nns++++=studies
( ^zz++++=(0.03%),
0.03% ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
systematic ^jj+atrb+++=systematic
reviews ^nns++++=reviews
( ^zz++++=(0.03%).
0.03% ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Of ^in++++=Of
these ^dt+dem+++=these
31 ^cd++++=31
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
less ^ql++++=less
than ^cs+sub+++=than
half ^abn++++=half
identified ^jj+atrb++xvbn+=identified
specific ^jj+atrb+++=specific
opioids ^nns+++??+=opioids
for ^in++++=for
the ^ati++++=the
treatment ^nn++++=treatment
of ^in++++=of
Mfw ^np+++??+=MFW-related
- ^zz++++=EXTRAWORD
related ^vbd+++xvbn+=EXTRAWORD
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
commonly ^rb++++=commonly
recommending ^jj+atrb++xvbg+=recommending
morphine ^nn++++=morphine.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
two ^cd++++=two
studies ^nns++++=studies
mentioned ^vbd+vpub++xvbn+=mentioned
oxycodone ^nn+++??+=oxycodone
but ^cc++++=but
did ^vbd+dod+aux++=did
not ^xnot++not++=not
provide ^vb+vsua+++=provide
details ^nns++++=details
regarding ^in++++=regarding
its ^pp$+it+++=its
formulation ^nn++++=formulation
or ^cc++++=or
methods ^nns++++=methods
of ^in++++=of
application ^nn++++=application,
, ^zz++++=EXTRAWORD
as ^in++++=as
summarized ^nn++++=summarized
in ^in++++=in
table ^nn++++=Table
5 ^zz++++=5.
. ^zz++++=EXTRAWORD
