Cryotherapy ^np+++??+=Cryotherapy
induces ^vbz++++=induces
cold ^jj++++=cold-mediated
- ^zz++++=EXTRAWORD
mediated ^nn+++??+=EXTRAWORD
vasoconstriction ^nn+++??+=vasoconstriction
and ^cc++++=and
muscle ^nn++++=muscle
spasms ^nns++++=spasms,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
turn ^nn++++=turn
slow ^jj+atrb+++=slow
nerve ^nn++++=nerve
conduction ^nn++++=conduction
and ^cc++++=and
reduce ^vb++++=reduce
pain ^nn++++=pain
( ^zz++++=(Farah
farah ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
no ^at++++=no
primary ^jj+atrb+++=primary
studies ^nns++++=studies
assessing ^vwbg+++xvbg+=assessing
the ^ati++++=the
effectiveness ^nn++++=effectiveness
of ^in++++=of
cryotherapy ^nn+++??+=cryotherapy
for ^in++++=for
malignant ^jj+atrb+++=malignant
fungating ^nn+++??+=fungating
wounds ^nns++++=wounds
( ^zz++++=(MFWs)
mfws ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
in ^in++++=in
the ^ati++++=the
past ^jjb++++=past
five ^cd++++=five
years ^nns++++=years.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
result ^nn++++=result,
, ^zz++++=EXTRAWORD
cryotherapy ^nn+++??+=cryotherapy
is ^vbz+bez+aux++=is
not ^xnot++not++=not
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
European ^jj+atrb+++=European
Oncology ^np+++??+=Oncology
Nursing ^nn++++=Nursing
Society ^nn++++=Society
( ^zz++++=(EONS)
eons ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
guidelines ^nns+++??+=guidelines
for ^in++++=for
the ^ati++++=the
management ^nn++++=management
of ^in++++=of
patients ^nns++++=patients
with ^in++++=with
Mfws ^np+++??+=MFWs
( ^zz++++=(EONS,
eons ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
absence ^nn++++=absence
of ^in++++=of
recent ^jj+atrb+++=recent
primary ^jj+atrb+++=primary
studies ^nns++++=studies
on ^in++++=on
cryotherapy ^nn+++??+=cryotherapy
may ^md+pos+++=may
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
the ^ati++++=the
emergence ^nn++++=emergence
of ^in++++=of
newer ^jjr+atrb+++=newer
therapies ^nns+++??+=therapies
for ^in++++=for
pain ^nn++++=pain
management ^nn++++=management
in ^in++++=in
Mfws ^np+++??+=MFWs
That ^tht+rel+subj++=that
Offer ^vb++++=offer
Greater ^jjr+atrb+++=greater
Efficacy ^nn++++=efficacy
And ^cc++++=and
Ease ^nn++++=ease
Of ^in++++=of
Application ^nn++++=application.
 ^zz++++=EXTRAWORD
