Information ^nn++++=Information
from ^in++++=from
previous ^jj+atrb+++=previous
events ^nns++++=events
is ^vbz+bez+aux++=is
often ^rb++splt++=often
used ^vpsv++++=used
to ^to++++=to
define ^vb++++=define
the ^ati++++=the
risk ^nn++++=risk
period ^nn++++=period
for ^in++++=for
adverse ^jj+atrb+++=adverse
events ^nns++++=events
following ^vwbg+++xvbg+=following
vaccination ^nn++++=vaccination
( ^zz++++=(1).
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn++++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
studies ^nns++++=studies
of ^in++++=of
influenza ^nn++++=influenza
vaccines ^nns++++=vaccines
and ^cc++++=and
the ^ati++++=the
subsequent ^jj+atrb+++=subsequent
development ^nn++++=development
of ^in++++=of
Guillain ^np+++??+=Guillain-Barr
- ^zz++++=EXTRAWORD
barr ^np++++=EXTRAWORD
syndrome ^nn++++=syndrome
( ^zz++++=(GBS),
gbs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
prespecified ^nn+++??+=prespecified
risk ^vb++++=risk
period ^nn++++=period
of ^in++++=of
42 ^cd++++=42
days ^nns++++=days
post ^nn++++=post-vaccination
- ^zz++++=EXTRAWORD
vaccination ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
employed ^vpsv++agls+xvbnx+=employed.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
duration ^nn++++=duration
was ^vbd+bedz+aux++=was
established ^vpsv++agls+xvbnx+=established
following ^jj+++xvbg+=following
a ^at++++=a
cluster ^nn++++=cluster
of ^in++++=of
Gbs ^np+++??+=GBS
cases ^nns++++=cases
in ^in++++=in
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
in ^in++++=in
1976 ^cd+date+++=1976,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
occurred ^vprf+++xvbn+=occurred
after ^in++++=after
administration ^nn++++=administration
of ^in++++=of
the ^ati++++=the
A ^at++++=A/New
Jersey ^np++++=Jersey
influenza ^nn++++=influenza
vaccine ^nn++++=vaccine
( ^zz++++=(10).
10 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
risk ^nn++++=risk
period ^nn++++=period,
, ^zz++++=EXTRAWORD
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
received ^vprf+++xvbnx+=received
the ^ati++++=the
vaccine ^nn++++=vaccine
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
be ^vbi++vrb++=be
at ^rb++++=at
an ^at++++=an
increased ^nn++++=increased
risk ^vb++++=risk
of ^in++++=of
developing ^xvbg+++xvbg+=developing
Gbs ^np+++??+=GBS,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
time ^nn++++=time
following ^vwbg+++xvbg+=following
this ^dt+dem+++=this
period ^nn++++=period
is ^vbz+bez+aux++=is
designated ^vpsv++agls+xvbn+=designated
as ^ql++++=as
the ^ati++++=the
control ^nn++++=control
period ^nn++++=period
( ^zz++++=(1,11).
1,11 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
