Entomological ^np+++??+=Entomological
research ^nn++++=research
conducted ^vbd+++xvbn+=conducted
within ^in++++=within
the ^ati++++=the
Sil ^np+++??+=SIL
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
enhance ^vbi++++=enhance
understanding ^nvbg+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
transmission ^nn++++=transmission
dynamics ^nn++++=dynamics
of ^in++++=of
American ^jj+atrb+++=American
cutaneous ^nns+++??+=cutaneous
leishmaniasis ^nns+++??+=leishmaniasis
( ^zz++++=(ACL)
acl ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
an ^at++++=an
observed ^jj+atrb++xvbn+=observed
increase ^nn++++=increase
in ^in++++=in
Acl ^np+++??+=ACL
cases ^nns++++=cases
among ^in++++=among
the ^ati++++=the
Suruwaha ^np+++??+=Suruwaha
population ^nn++++=population
between ^in++++=between
2010 ^cd++++=2010
and ^cc++++=and
2012 ^cd++++=2012.
. ^zz++++=EXTRAWORD
The ^ati++++=The
investigation ^nn++++=investigation
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
this ^dt+dem+++=this
rise ^nn++++=rise
in ^in++++=in
cases ^nns++++=cases
was ^vbd+bedz+vrb++=was
likely ^jj++++=likely
associated ^jj+++xvbn+=associated
with ^in++++=with
the ^ati++++=the
community ^nn++++=community-wide
- ^zz++++=EXTRAWORD
wide ^jj+atrb+++=EXTRAWORD
distribution ^nn++++=distribution
of ^in++++=of
flashlights ^nns+++??+=flashlights
in ^in++++=in
late ^jj++++=late
2010 ^cd++++=2010,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
requested ^vpsv++by+xvbnx+=requested
by ^in++++=by
the ^ati++++=the
Suruwaha ^np+++??+=Suruwaha.
. ^zz++++=EXTRAWORD
The ^ati++++=The
provision ^nn++++=provision
of ^in++++=of
flashlights ^nns+++??+=flashlights
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
have ^vbi++++=have
facilitated ^vbd+++xvbn+=facilitated
a ^at++++=a
shift ^nn++++=shift
in ^in++++=in
the ^ati++++=the
Suruwaha ^np+++??+=Suruwaha
s ^zz++++=s
hunting ^vwbg+++xvbg+=hunting
practices ^nns++++=practices
from ^in++++=from
exclusively ^rb++++=exclusively
diurnal ^jj++++=diurnal
to ^in++++=to
nocturnal ^jj+atrb++??+=nocturnal
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
increasing ^jj+atrb++xvbg+=increasing
exposure ^nn++++=exposure
to ^in++++=to
the ^ati++++=the
primarily ^rb+down+++=primarily
crepuscular ^jj+atrb++??+=crepuscular
and ^cc+phrs+++=and
nocturnal ^jj+atrb++??+=nocturnal
blood ^nn++++=blood-feeding
- ^zz++++=EXTRAWORD
feeding ^vbg+++xvbg+=EXTRAWORD
female ^nn++++=female
sand ^nn++++=sand
flies ^nns++++=flies
responsible ^jj++++=responsible
for ^in++++=for
acl ^np++++=ACL
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
