Impaired parathyroid hormone (PTH) activity — as occurs in patients
with PTH deficiency (hypoparathyroidism) — or resistance (pseudohypoparathyroidism) leads to
hypocalcemia and hyperphosphatemia. PTH mediates its actions by binding to
the PTH type 1 receptor (PTH1R), which is located on
the plasma membrane of target cells; this in turn leads
to activation of the G protein G s α and
to stimulation of intracellular cyclic adenosine monophosphate (cAMP) production. In
the kidney, PTH decreases the reabsorption of phosphate and stimulates
the synthesis of the active form of vitamin D (1,25-dihydroxyvitamin
D) in the proximal tubule, whereas it increases calcium reabsorption
in the distal tubule. In bone, PTH stimulates calcium and
phosphate mobilization. PTH resistance in the absence of kidney failure
is typically associated with genetic or epigenetic abnormalities (pseudohypoparathyroidism types
1A and 1B, respectively) involving GNAS, the gene encoding G
s α. These abnormalities are congenital disorders in which PTH
resistance is established during early childhood. In this report, we
describe two cases of acquired severe hypocalcemia resulting from the
development of PTH resistance in association with PTH1R-blocking autoantibodies.
