Both ^abx++++=Both
Victoria ^np++++=Victoria
and ^cc++++=and
other ^ap++++=other
( ^zz++++=(control)
control ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
states ^nns++++=states
had ^vb+hv+vrb++=had
a ^at++++=a
downward ^jjb+atrb+++=downward
trend ^nn++++=trend
in ^in++++=in
Mhi ^np+++??+=MHI-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
scores ^nns++++=scores
in ^in++++=in
the ^ati++++=the
years ^nns++++=years
leading ^vwbg+++xvbg+=leading
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
pandemic ^jj++++=pandemic
( ^zz++++=(2011
2011 ^cd++++=EXTRAWORD
19 ^cd++++=19)
) ^zz++++=EXTRAWORD
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
disproportionately ^rb++++=disproportionately
large ^jj++++=large
and ^cc++++=and
statistically ^rb++++=statistically
significant ^jj+atrb+++=significant
drop ^nn++++=drop
in ^in++++=in
2020 ^cd++++=2020
( ^zz++++=(
figure ^nn++++=figure
1 ^zz++++=1
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
Victoria ^np++++=Victoria,
, ^zz++++=EXTRAWORD
from ^in++++=from
2019 ^cd++++=2019
to ^to++++=to
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mean ^nn++++=mean
Mhi ^np+++??+=MHI-5
- ^zz++++=EXTRAWORD
5 ^zz++++=EXTRAWORD
score ^nn++++=score
declined ^vbd+++xvbn+=declined
from ^in++++=from
71 ^cd++++=71
6 ^zz++++=6
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI
70 ^cd++++=70
8 ^zz++++=8
72 ^cd++++=72
3 ^zz++++=3)
) ^zz++++=EXTRAWORD
to ^to++++=to
69 ^cd++++=69
4 ^zz++++=4
( ^zz++++=(68
68 ^cd++++=EXTRAWORD
6 ^zz++++=6
70 ^cd++++=70
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
decrease ^nn++++=decrease
of ^in++++=of
2 ^zz++++=2
2 ^zz++++=2
points ^nns++++=points
( ^zz++++=(p<0
p<0 ^nn+++??+=EXTRAWORD
0001 ^nn+++??+=0001),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
Australian ^jj+atrb+++=Australian
states ^nns++++=states
was ^vbd+bedz+vrb++=was
from ^in++++=from
72 ^cd++++=72
0 ^zz++++=0
( ^zz++++=(71
71 ^cd++++=EXTRAWORD
5 ^zz++++=5
72 ^cd++++=72
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
to ^to++++=to
70 ^cd++++=70
9 ^zz++++=9
( ^zz++++=(70
70 ^cd++++=EXTRAWORD
5 ^zz++++=5
71 ^cd++++=71
4 ^zz++++=4),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
decrease ^nn++++=decrease
of ^in++++=of
1 ^zz++++=1
1 ^zz++++=1
points ^nns++++=points
( ^zz++++=(p=0
p=0 ^nn++++=EXTRAWORD
0025 ^nn++++=0025).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
