Over ^in++++=Over
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
from ^in++++=from
2002 ^cd++++=2002
to ^to++++=to
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
national ^jj+atrb+++=national
life ^nn++++=life
expectancy ^nn++++=expectancy
increased ^vbd+++xvbn+=increased
in ^in++++=in
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
in ^in++++=in
Australasia ^np+++??+=Australasia,
, ^zz++++=EXTRAWORD
Europe ^np++++=Europe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
North ^np+pl+++=North
America ^np++++=America.
. ^zz++++=EXTRAWORD
Female ^nn++++=Female
life ^nn++++=life
expectancy ^nn++++=expectancy
has ^vbz+hvz+vrb++=has
stagnated ^nn+++??+=stagnated
or ^cc++++=or
declined ^vpsv++agls+xvbn+=declined
in ^in++++=in
various ^jj+atrb+++=various
intervals ^nns++++=intervals
since ^in++++=since
2010 ^cd++++=2010
in ^in++++=in
the ^ati++++=the
Uk ^np++++=UK
( ^zz++++=(84%
84 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Uk ^np++++=UK
population ^nn++++=population
in ^in++++=in
2019 ^cd++++=2019
lived ^vbd+++xvbn+=lived
in ^in++++=in
England ^np++++=England)
) ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
some ^dti++++=some
other ^ap++++=other
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
including ^in++++=including
France ^np++++=France,
, ^zz++++=EXTRAWORD
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Usa ^np++++=USA;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Uk ^np++++=UK
and ^cc++++=and
Usa ^np++++=USA
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
poorest ^jjt+atrb+++=poorest
performances ^nns++++=performances
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
the ^ati++++=the
duration ^nn++++=duration
or ^cc++++=or
extent ^nn++++=extent
of ^in++++=of
slowdown ^nn+++??+=slowdown
or ^cc++++=or
reversal ^nn+++??+=reversal
in ^in++++=in
longevity ^nn++++=longevity
gain ^nn++++=gain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
comparative ^jj+atrb+++=comparative
performance ^nn++++=performance
of ^in++++=of
high ^jj++++=high-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries'
' ^zz++++=EXTRAWORD
longevity ^nn++++=longevity
trends ^nns++++=trends
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
differences ^nns++++=differences
in ^in++++=in
risk ^nn++++=risk
factors ^nns++++=factors
such ^abl++++=such
as ^ql++++=as
smoking ^nvbg+++xvbg+=smoking,
, ^zz++++=EXTRAWORD
health ^nn++++=health
care ^nn++++=care,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
inequalities ^nns++++=inequalities.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
the ^ati++++=the
2008 ^cd++++=2008
economic ^jj+atrb+++=economic
crisis ^nn++++=crisis,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
been ^vprf+ben+vrb+xvbnx+=been
attention ^nn++++=attention
on ^in++++=on
how ^wrb+who+++=how
cuts ^nns++++=cuts
to ^in++++=to
social ^jj++++=social
and ^cc++++=and
health ^nn++++=health
services ^nns++++=services
in ^in++++=in
austerity ^nn++++=austerity
budgets ^nns++++=budgets
might ^md+pos+++=might
have ^vb+hv+vrb++=have
affected ^jj+atrb+++=affected
health ^nn++++=health
in ^in++++=in
different ^jj+atrb+++=different
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
