Both ^abx++++=Both
current ^jj++++=current
( ^zz++++=(up
up ^rp++++=EXTRAWORD
to ^to++++=to
1 ^zz++++=1
year ^nn++++=year)
) ^zz++++=EXTRAWORD
and ^cc++++=and
lifetime ^nn++++=lifetime
prevalence ^nn+nom+++=prevalence
were ^vbd+bed+aux++=were
extracted ^vpsv++agls+xvbnx+=extracted,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
available ^jj++++=available.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
primary ^jj+atrb+++=primary
outcomes ^nns+++??+=outcomes
were ^vbd+bed+vrb++=were
comorbid ^nn+++??+=comorbid
non ^&fw++++=non-affective
- ^zz++++=EXTRAWORD
affective ^jj+atrb+++=EXTRAWORD
psychosis ^nns+++??+=psychosis
( ^zz++++=(International
international ^jj+atrb+++=EXTRAWORD
Classification ^nn+nom+++=Classification
of ^in++++=of
Diseases ^nns++++=Diseases
F20 ^np+++??+=F20
29 ^cd++++=29)
) ^zz++++=EXTRAWORD
with ^in++++=with
substance ^nn+nom+++=substance
use ^nn++++=use
disorders ^nns+nom+++=disorders
( ^zz++++=(alcohol
alcohol ^nn++++=EXTRAWORD
use ^nn++++=use
disorders ^nns+nom+++=disorders
[ ^zz++++=[F10]
f10 ^nn+++??+=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
drug ^nn++++=drug
use ^nn++++=use
disorders ^nns+nom+++=disorders
[ ^zz++++=[F11
f11 ^nn+++??+=EXTRAWORD
19 ^cd++++=19,
, ^zz++++=EXTRAWORD
excluding ^vbg+++xvbg+=excluding
F17] ^np+++??+=F17]),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
comorbid ^nn+++??+=comorbid
major ^jj+atrb+++=major
depression ^nn++++=depression
( ^zz++++=(F32
f32 ^nn+++??+=EXTRAWORD
33 ^cd++++=33)
) ^zz++++=EXTRAWORD
with ^in++++=with
substance ^nn+nom+++=substance
use ^nn++++=use
disorders ^nns+nom+++=disorders
( ^zz++++=(alcohol
alcohol ^nn++++=EXTRAWORD
use ^nn++++=use
disorders ^nns+nom+++=disorders
and ^cc++++=and
drug ^nn++++=drug
use ^nn++++=use
disorders ^nns+nom+++=disorders).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
prevalence ^nn+nom+++=prevalence
data ^nns++++=data
on ^in++++=on
non ^&fw++++=non-affective
- ^zz++++=EXTRAWORD
affective ^jj+atrb+++=EXTRAWORD
psychosis ^nns+++??+=psychosis
or ^cc++++=or
major ^jj+atrb+++=major
depression ^nn++++=depression
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
available ^jj++++=available,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
extracted ^vbd+++xvbn+=extracted
estimates ^nns+nom+++=estimates
based ^vwbn+++xvbn+=based
on ^in++++=on
all ^abn++++=all
types ^nns++++=types
of ^in++++=of
psychoses ^nns+++??+=psychoses
( ^zz++++=(F20
f20 ^nn+++??+=EXTRAWORD
29 ^cd++++=29,
, ^zz++++=EXTRAWORD
F31 ^np+++??+=F31,
, ^zz++++=EXTRAWORD
F32.3 ^np+++??+=F32.3,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
F33.3 ^np+++??+=F33.3)
) ^zz++++=EXTRAWORD
and ^cc++++=and
on ^in++++=on
affective ^jj+atrb+++=affective
disorders ^nns+nom+++=disorders
( ^zz++++=(F30
f30 ^nn+++??+=EXTRAWORD
39 ^cd++++=39).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
post ^nn++++=post-hoc
- ^zz++++=EXTRAWORD
hoc ^jj"+atrb+++=EXTRAWORD
secondary ^jj+atrb+++=secondary
outcome ^nn++++=outcome,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
considered ^vbd+vprv++xvbn+=considered
co ^nn++++=co-occurring
- ^zz++++=EXTRAWORD
occurring ^vbg+++xvbg+=EXTRAWORD
axis ^nn++++=axis
I ^pp1a+pp1+++=I
disorders ^nns+nom+++=disorders
( ^zz++++=(F20
f20 ^nn++++=EXTRAWORD
59 ^cd++++=59)
) ^zz++++=EXTRAWORD
and ^cc++++=and
substance ^nn+nom+++=substance
use ^nn++++=use
disorders ^nns+nom+++=disorders.
. ^zz++++=EXTRAWORD
