Both ^abx++++=Both
chloroquine ^nn+++??+=chloroquine
and ^cc++++=and
the ^ati++++=the
derivative ^jj+atrb+++=derivative
molecule ^nn+++??+=molecule
hydroxychloroquine ^nn+++??+=hydroxychloroquine
have ^vb+hv+vrb++=have
in ^in++++=in
vitro ^nn+++??+=vitro
activity ^nn+nom+++=activity
against ^in++++=against
Sars ^np+++??+=SARS-CoV
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
and ^cc++++=and
Sars ^np+++??+=SARS-CoV-2.
- ^zz++++=EXTRAWORD
cov ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hydroxychloroquine ^np+++??+=Hydroxychloroquine
is ^vbz+bez+aux++=is
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
impair ^vbi++++=impair
the ^ati++++=the
terminal ^jj+atrb+++=terminal
glycosylation ^nn+nom+++=glycosylation
of ^in++++=of
the ^ati++++=the
angiotensin ^nn+++??+=angiotensin-converting
- ^zz++++=EXTRAWORD
converting ^vbg+++xvbg+=EXTRAWORD
enzyme ^nn+++??+=enzyme
2 ^zz++++=2
( ^zz++++=(ACE2)
ace2 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
receptor ^nn++++=receptor,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
the ^ati++++=the
binding ^jj+atrb+++=binding
site ^nn++++=site
for ^in++++=for
the ^ati++++=the
envelope ^nn++++=envelope
spike ^nn+++??+=spike
glycoprotein ^nn+++??+=glycoprotein
and ^cc++++=and
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
inhibit ^vbi++++=inhibit
endolysosome ^nn+++??+=endolysosome
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
hydroxychloroquine ^nn+++??+=hydroxychloroquine
may ^md+pos+++=may
have ^vb+hv+vrb++=have
greater ^jjr++++=greater
in ^in++++=in
vitro ^nn+++??+=vitro
activity ^nn+nom+++=activity
against ^in++++=against
sars ^np++++=SARS-CoV-2
- ^zz++++=EXTRAWORD
cov ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
2 ^zz++++=EXTRAWORD
than ^in++++=than
chloroquine ^nn++++=chloroquine.
. ^zz++++=EXTRAWORD
