Both ^abx++++=Both
Barczyk ^np+++??+=Barczyk
& ^zz++++=&
Kredler ^np+++??+=Kredler
( ^zz++++=(
8 ^zz++++=8
) ^zz++++=)
and ^cc++++=and
Kehusmaa ^np+++??+=Kehusmaa
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(
62 ^cd++++=62
) ^zz++++=)
found ^vbd+vprv++xvbn+=found
that ^tht+vcmp+++=that
informal ^jj+atrb+++=informal
care ^nn++++=care
receipt ^nn++++=receipt
was ^vbd+bedz+aux++=was
associated ^vpsv++agls+xvbn+=associated
with ^in++++=with
lower ^jjr+atrb+++=lower
health ^nn++++=health
care ^nn++++=care
costs ^nns++++=costs.
. ^zz++++=EXTRAWORD
