Most ^ql+emph+++=Most
striking ^nvbg+++xvbg+=striking
is ^vbz+bez+vrb++=is
the ^ati++++=the
difference ^nn+nom+++=difference
between ^in++++=between
Hud ^np++++=HUD's
's ^$++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Us ^pp1o+pp1+++=US
Department ^nn+nom+++=Department
of ^in++++=of
Education ^nn+nom+++=Education
( ^zz++++=(DOE)
doe ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
s ^zz++++=s
counting ^vwbg+++xvbg+=counting
approach ^nn++++=approach
in ^in++++=in
the ^ati++++=the
numbers ^nns+nom+++=numbers
of ^in++++=of
children ^nns++++=children
experiencing ^vwbg+++xvbg+=experiencing
homelessness ^nns+nom+++=homelessness.
. ^zz++++=EXTRAWORD
Doe ^np++++=DOE's
's ^$++++=EXTRAWORD
count ^npt++++=count
is ^vbz+bez+aux++=is
conducted ^vpsv++by+xvbnx+=conducted
by ^in++++=by
local ^jj+atrb+++=local
Mckinney ^np+++??+=McKinney
Vento ^np+++??+=Vento
School ^nn++++=School
Liaisons ^np+++??+=Liaisons
who ^whp+rel+subj++=who
report ^vb++++=report
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
children ^nns++++=children
identified ^vwbn+++xvbn+=identified
as ^ql++++=as
homeless ^jj++++=homeless
in ^in++++=in
their ^pp$+pp3+++=their
districts ^nns++++=districts.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
numbers ^nns+nom+++=numbers
are ^vb+ber+aux++=are
aggregated ^vpsv++agls+xvbnx+=aggregated
every ^at++++=every
school ^nn++++=school
year ^nn++++=year.
. ^zz++++=EXTRAWORD
Without ^in++++=Without
going ^nn++++=going
beyond ^in++++=beyond
the ^ati++++=the
gross ^jj+atrb+++=gross
counts ^nns++++=counts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
difference ^nn+nom+++=difference
is ^vbz+bez+vrb++=is
apparent ^jj+pred+++=apparent:
: ^zz++++=EXTRAWORD
Hud ^np++++=HUD's
's ^$++++=EXTRAWORD
2018 ^cd++++=2018
Ahar ^np+++??+=AHAR
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
111,592 ^cd++++=111,592
individuals ^nns+nom+++=individuals
under ^in++++=under
age ^nn++++=age
18 ^cd++++=18
were ^vbd+bed+vrb++=were
homeless ^jj+pred+++=homeless,
, ^zz++++=EXTRAWORD
with ^in++++=with
more ^rbr++++=more
than ^in++++=than
90 ^cd++++=90%
% ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
in ^in++++=in
a ^at++++=a
shelter ^nn++++=shelter
( ^zz++++=(
31 ^cd++++=31
) ^zz++++=).
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
2016 ^cd++++=2016
2017 ^cd++++=2017
school ^nn++++=school
year ^nn++++=year
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
data ^nns++++=data),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Doe ^np++++=DOE
reported ^vbd+vpub++xvbn+=reported
that ^tht+vcmp+++=that
more ^rbr++++=more
than ^in++++=than
1.3 ^cd++++=1.3
million ^cd++++=million
school ^nn++++=school-aged
- ^zz++++=EXTRAWORD
aged ^jj+atrb+++=EXTRAWORD
students ^nns++++=students
were ^vbd+bed+vrb++=were
homeless ^jj+pred+++=homeless
while ^cs+sub+++=while
attending ^vbg+++xvbg+=attending
public ^jj+atrb+++=public
school ^nn++++=school
( ^zz++++=(
51 ^cd++++=51
) ^zz++++=).
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
a ^at++++=a
tenfold ^nn+++??+=tenfold
difference ^nn+nom+++=difference
between ^in++++=between
the ^ati++++=the
Hud ^np+++??+=HUD
numbers ^nns+nom+++=numbers
and ^cc++++=and
the ^ati++++=the
Doe ^np++++=DOE
numbers ^nns+nom+++=numbers.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
children ^nns++++=children
aged ^jj+atrb+++=aged
0 ^zz++++=0
to ^to++++=to
6 ^zz++++=6
years ^nns++++=years
( ^zz++++=(i.e.,
i.e ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
not ^xnot++not++=not
yet ^rb++++=yet
in ^in++++=in
school ^nn++++=school)
) ^zz++++=EXTRAWORD
experiencing ^vbg+++xvbg+=experiencing
homelessness ^nns+nom+++=homelessness
were ^vbd+bed+aux++=were
added ^vpsv++agls+xvbnx+=added
to ^in++++=to
the ^ati++++=the
Doe ^np++++=DOE
numbers ^nns+nom+++=numbers
for ^in++++=for
the ^ati++++=the
2012 ^cd++++=2012
2013 ^cd++++=2013
school ^nn++++=school
year ^nn++++=year,
, ^zz++++=EXTRAWORD
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
children ^nns++++=children
under ^in++++=under
18 ^cd++++=18
experiencing ^nvbg+++xvbg+=experiencing
homelessness ^nns+nom+++=homelessness
that ^tht+rel+obj++=that
year ^nn++++=year
exceeded ^vbd+++xvbn+=exceeded
2.5 ^cd++++=2.5
million ^cd++++=million
or ^cc++++=or
1 ^zz++++=1
in ^in++++=in
30 ^cd++++=30
children ^nns++++=children
( ^zz++++=(
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
