Many ^ap++++=Many
studies ^nns++++=studies
have ^vb+hv+aux++=have
assessed ^vprf+++xvbnx+=assessed
targeted ^nn+++??+=targeted
taxes ^nns++++=taxes
on ^rp++++=on
sweetened ^vwbn+++xvbn+=sweetened
sugary ^jj+atrb+++=sugary
beverages ^nns++++=beverages,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
fewer ^ap++++=fewer
have ^vb+hv+vrb++=have
simulated ^nn+++??+=simulated
the ^ati++++=the
health ^nn++++=health
impacts ^nns+++??+=impacts
from ^in++++=from
taxes ^nns++++=taxes
and ^cc++++=and
subsidies ^nns++++=subsidies
that ^tht+rel+obj++=that
act ^nn++++=act
on ^in++++=on
many ^ap++++=many
foods ^nns++++=foods.
. ^zz++++=EXTRAWORD
A ^at++++=A
2007 ^cd++++=2007
study ^nn++++=study
by ^in++++=by
Mytton ^np+++??+=Mytton
and ^cc++++=and
colleagues ^nns++++=colleagues
raised ^vbd+++xvbn+=raised
concern ^nn++++=concern
that ^tht+rel+++=that
taxing ^nn+++??+=taxing
saturated ^vbd+++xvbn+=saturated
fat ^nn++++=fat
alone ^rb++++=alone
might ^md+pos+++=might
create ^vb++++=create
a ^at++++=a
net ^jjb+atrb+++=net
deleterious ^jj+atrb+++=deleterious
impact ^nn++++=impact
on ^in++++=on
cardiovascular ^nn+++??+=cardiovascular
disease ^nn++++=disease
through ^in++++=through
increased ^vbd+++xvbn+=increased
salt ^jj+atrb+++=salt
intake ^nn++++=intake,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
find ^vb+vprv+++=find
health ^nn++++=health
improvements ^nns++++=improvements
for ^in++++=for
taxes ^nns++++=taxes
on ^in++++=on
unhealthy ^jj+atrb+++=unhealthy
foods ^nns++++=foods.
. ^zz++++=EXTRAWORD
In ^in++++=In
2009 ^cd++++=2009,
, ^zz++++=EXTRAWORD
Nnoaham ^np+++??+=Nnoaham
and ^cc++++=and
colleagues ^nns++++=colleagues
estimated ^vbd+vprv++xvbn+=estimated
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
food ^nn++++=food
taxes ^nns++++=taxes
on ^in++++=on
cause ^nn++++=cause-specific
- ^zz++++=EXTRAWORD
specific ^jj+atrb+++=EXTRAWORD
deaths ^nns++++=deaths
and ^cc++++=and
total ^jj+atrb+++=total
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
a ^at++++=a
saturated ^jj+atrb++xvbn+=saturated
fat ^nn++++=fat-only
- ^zz++++=EXTRAWORD
only ^rb+down+++=EXTRAWORD
tax ^nn++++=tax
increased ^vbd+++xvbn+=increased
cancer ^nn++++=cancer
and ^cc++++=and
cardiovascular ^jj+atrb++??+=cardiovascular
disease ^nn++++=disease
deaths ^nns++++=deaths
( ^zz++++=(due
due ^jj++++=EXTRAWORD
to ^in+jcmp+++=to
compensatory ^vb+++??+=compensatory
increases ^nns++++=increases
in ^in++++=in
salt ^jj+atrb+++=salt
intake ^nn++++=intake),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
that ^tht+vcmp+++=that
a ^at++++=a
package ^nn++++=package
of ^in++++=of
taxing ^nn+++??+=taxing
less ^rbr++++=less
healthy ^jj+atrb+++=healthy
foods ^nns++++=foods
with ^in++++=with
all ^abn++++=all
revenue ^nn++++=revenue
used ^md"++pmd"++=used
to ^to++++=to
subsidise ^vb++++=subsidise
fruits ^nns++++=fruits
and ^cc++++=and
vegetables ^nns++++=vegetables
could ^md+pos+++=could
lead ^vb++++=lead
to ^in++++=to
large ^jj+atrb+++=large
reductions ^nns++++=reductions
in ^in++++=in
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
In ^in++++=In
2017 ^cd++++=2017,
, ^zz++++=EXTRAWORD
Cobiac ^np+++??+=Cobiac
and ^cc++++=and
colleagues ^nns++++=colleagues
examined ^vwbn+++xvbn+=examined
taxes ^nns++++=taxes
on ^in++++=on
saturated ^vbd+++xvbn+=saturated
fat ^nn++++=fat,
, ^zz++++=EXTRAWORD
salt ^jj++++=salt,
, ^zz++++=EXTRAWORD
sugar ^nn++++=sugar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sugar ^nn++++=sugar-sweetened
- ^zz++++=EXTRAWORD
sweetened ^vwbn+++xvbn+=EXTRAWORD
beverages ^nns++++=beverages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
subsidy ^nn++++=subsidy
on ^in++++=on
