Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Hud ^np+++??+=HUD
Pit ^nn++++=PIT
count ^npt++++=count
misses ^npt++++=misses
families ^nns++++=families
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
unseen ^jj+pred+++=unseen,
, ^zz++++=EXTRAWORD
namely ^rb+cnj+++=namely,
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
live ^vb++++=live
doubled ^vbd+++xvbn+=doubled-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
those ^dt+pdem+++=those
who ^whp+rel+obj++=who
couch ^nn++++=couch
surf ^nn++++=surf,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
live ^vb++++=live
in ^in++++=in
motels ^nns+++??+=motels,
, ^zz++++=EXTRAWORD
hotels ^nns++++=hotels,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
campgrounds ^nns+++??+=campgrounds
( ^zz++++=(
48 ^cd++++=48
) ^zz++++=).
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
Pit ^nn++++=PIT
sporadically ^rb++++=sporadically
counts ^vbz++++=counts
those ^dt+dem+++=those
living ^jj+++xvbg+=living
in ^in++++=in
motels ^nns+++??+=motels
or ^cc++++=or
hotels ^nns++++=hotels,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
included ^vpsv++agls+xvbnx+=included
only ^rb+down+++=only
if ^cs+cnd+++=if
considered ^vbd+vprv++xvbn+=considered
to ^to+vcmp+++=to
be ^vbi++vrb++=be
shelter ^nn++++=shelter
residents ^nns++++=residents
with ^in++++=with
no ^at++++=no
access ^nn++++=access
to ^in++++=to
other ^ap++++=other
spaces ^nns++++=spaces
and ^cc++++=and
the ^ati++++=the
shelter ^nn++++=shelter
or ^cc++++=or
a ^at++++=a
government ^nn+nom+++=government
agency ^nn++++=agency
is ^vbz+bez+aux++=is
paying ^vbg+++xvbgx+=paying
the ^ati++++=the
cost ^nn++++=cost
or ^cc+cls+++=or
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
live ^vb++++=live
in ^in++++=in
an ^at++++=an
area ^nn++++=area
where ^wrb+who+++=where
emergency ^nn++++=emergency
shelters ^nns+nom+++=shelters
are ^vb+ber+vrb++=are
unavailable ^jj+pred+++=unavailable
( ^zz++++=(
21 ^cd++++=21
) ^zz++++=).
. ^zz++++=EXTRAWORD
