Both ^abx++++=Both
males ^nns++++=males
and ^cc++++=and
females ^nns++++=females
had ^vb+hv+vrb++=had
large ^jj+atrb+++=large
percentage ^nn++++=percentage
change ^nn++++=change
increases ^vbz++++=increases
in ^in++++=in
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate
of ^in++++=of
falls ^nn++++=falls
between ^in++++=between
1990 ^cd+date+++=1990
and ^cc++++=and
2019 ^cd++++=2019
( ^zz++++=(77
77 ^cd++++=EXTRAWORD
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
[ ^zz++++=[95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ui ^np+++??+=UI
63 ^cd++++=63
3 ^zz++++=3
91 ^cd++++=91
8 ^zz++++=8]
] ^zz++++=EXTRAWORD
for ^in++++=for
females ^nns++++=females
and ^cc++++=and
82 ^cd++++=82
9 ^zz++++=9%
% ^zz++++=EXTRAWORD
[ ^zz++++=[67
67 ^cd++++=EXTRAWORD
4 ^zz++++=4
to ^to++++=to
100 ^cd++++=100]
] ^zz++++=EXTRAWORD
for ^in++++=for
males] ^nn+++??+=males]).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
past ^jjb++++=past
three ^cd++++=three
decades ^nns++++=decades,
, ^zz++++=EXTRAWORD
the ^ati++++=the
percentage ^nn++++=percentage
change ^nn++++=change
in ^in++++=in
incidence ^nn++++=incidence
rate ^nn++++=rate
varied ^vbd+++xvbn+=varied
from ^in++++=from
50 ^cd++++=50
0 ^zz++++=0%
% ^zz++++=EXTRAWORD
( ^zz++++=(42
42 ^cd++++=EXTRAWORD
1 ^zz++++=1
59 ^cd++++=59
5 ^zz++++=5)
) ^zz++++=EXTRAWORD
for ^in++++=for
people ^nns++++=people
aged ^jj++++=aged
60 ^cd++++=60
64 ^cd++++=64
years ^nns++++=years
to ^to++++=to
123 ^cd++++=123
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
( ^zz++++=(105
105 ^cd++++=EXTRAWORD
4 ^zz++++=4
141 ^cd++++=141
9 ^zz++++=9)
) ^zz++++=EXTRAWORD
for ^in++++=for
people ^nns++++=people
aged ^jj++++=aged
80 ^cd++++=80
years ^nns++++=years
and ^cc++++=and
older ^jjr++++=older
( ^zz++++=(
appendix ^nn++++=appendix
pp ^nns++++=pp
12 ^cd++++=12
14 ^cd++++=14
) ^zz++++=).
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
percentage ^nn++++=percentage
change ^nn++++=change
in ^in++++=in
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate
of ^in++++=of
falls ^nn++++=falls
in ^in++++=in
the ^ati++++=the
age ^nn++++=age
80 ^cd++++=80
years ^nns++++=years
and ^cc++++=and
older ^jjr+atrb+++=older
group ^nn++++=group
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
than ^cs+sub+++=than
in ^in++++=in
the ^ati++++=the
other ^ap++++=other
age ^nn++++=age
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
no ^at++++=no
significant ^jj+atrb+++=significant
differences ^nns++++=differences
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
the ^ati++++=the
age ^nn++++=age
groups ^nns++++=groups
for ^in++++=for
percentage ^nn++++=percentage
change ^nn++++=change
in ^in++++=in
mortality ^nn++++=mortality
and ^cc++++=and
Daly ^np+++??+=DALY
rates ^nns++++=rates
( ^zz++++=(
table ^nn++++=table
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
In ^in++++=In
each ^dt++++=each
specific ^jj+atrb+++=specific
age ^nn++++=age-sex
- ^zz++++=EXTRAWORD
sex ^nn++++=EXTRAWORD
group ^nn++++=group,
, ^zz++++=EXTRAWORD
a ^at++++=a
significant ^jj+atrb+++=significant
difference ^nn++++=difference
in ^in++++=in
percentage ^nn++++=percentage
change ^nn++++=change
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
between ^in++++=between
the ^ati++++=the
age ^nn++++=age
80 ^cd++++=80
years ^nns++++=years
and ^cc++++=and
older ^jjr+atrb+++=older
group ^nn++++=group
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
age ^nn++++=age
groups ^nns++++=groups
in ^in++++=in
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate
but ^cc++++=but
not ^xnot++not++=not
for ^in++++=for
mortality ^nn++++=mortality
or ^cc++++=or
Daly ^np+++??+=DALY
rates ^nns++++=rates
( ^zz++++=(
table ^nn++++=table
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
The ^ati++++=The
percentage ^nn++++=percentage
change ^nn++++=change
of ^in++++=of
the ^ati++++=the
incidence ^nn++++=incidence
rate ^nn++++=rate
among ^in++++=among
the ^ati++++=the
age ^nn++++=age
70 ^cd++++=70
74 ^cd++++=74
years ^nns++++=years,
, ^zz++++=EXTRAWORD
75 ^cd++++=75
79 ^cd++++=79
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
80 ^cd++++=80
years ^nns++++=years
and ^cc++++=and
older ^jjr+atrb+++=older
groups ^nns++++=groups
was ^vbd+bedz+vrb++=was
significantly ^rb++++=significantly
higher ^jjr+pred+++=higher
for ^in++++=for
males ^nns++++=males
than ^in++++=than
for ^in++++=for
females ^nns++++=females
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
age ^nn++++=age
group ^nn++++=group,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
similar ^jj+atrb+++=similar
trends ^nns++++=trends
were ^vbd+bed+aux++=were
not ^xnot++not++=not
seen ^vbd+vprv++xvbn+=seen
for ^in++++=for
mortality ^nn++++=mortality
and ^cc++++=and
daly ^np++++=DALY
rates ^nns++++=rates
( ^zz++++=(
table ^nn++++=table
2 ^zz++++=2
) ^zz++++=).
. ^zz++++=EXTRAWORD
