Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
66.7 ^cd++++=66.7%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
elexacaftor ^nn+++??+=elexacaftor
tezacaftor ^nn+++??+=tezacaftor
ivacaftor ^nn+++??+=ivacaftor
group ^nn++++=group
and ^cc++++=and
65.9 ^cd++++=65.9%
% ^zz++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
in ^in++++=in
the ^ati++++=the
active ^jj+atrb+++=active
control ^nn++++=control
group ^nn++++=group
( ^zz++++=(ivacaftor
ivacaftor ^nn+++??+=EXTRAWORD
or ^cc++++=or
tezacaftor ^nn+++??+=tezacaftor
ivacaftor ^nn+++??+=ivacaftor)
) ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
one ^cd1++++=one
or ^cc++++=or
more ^rbr++++=more
adverse ^jj+atrb+++=adverse
events ^nns++++=events,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
for ^in++++=for
most ^ql+emph+++=most
patients ^nns++++=patients
were ^vbd+bed+vrb++=were
mild ^jj+pred+++=mild
or ^cc+phrs+++=or
moderate ^jj++++=moderate
in ^in++++=in
severity ^nn++++=severity
and ^cc++++=and
resolved ^vpsv++agls+xvbn+=resolved
during ^in++++=during
the ^ati++++=the
trial ^nn++++=trial
( ^zz++++=(
Table ^np++++=Table
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
Serious ^jj+atrb+++=Serious
adverse ^jj+atrb+++=adverse
events ^nns++++=events
were ^vbd+bed+aux++=were
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
5 ^zz++++=5
patients ^nns++++=patients
( ^zz++++=(3.8%)
3.8 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
elexacaftor ^nn+++??+=elexacaftor
tezacaftor ^nn+++??+=tezacaftor
ivacaftor ^nn+++??+=ivacaftor
group ^nn++++=group
and ^cc++++=and
11 ^cd++++=11
patients ^nns++++=patients
( ^zz++++=(8.7%)
8.7 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
active ^jj+atrb+++=active
control ^nn++++=control
group ^nn++++=group,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
difference ^nn++++=difference
attributable ^jj++++=attributable
to ^in++++=to
a ^at++++=a
higher ^jjr+atrb+++=higher
incidence ^nn++++=incidence
of ^in++++=of
pulmonary ^nn+++??+=pulmonary
exacerbation ^nn+++??+=exacerbation
in ^in++++=in
the ^ati++++=the
active ^jj+atrb+++=active
control ^nn++++=control
group ^nn++++=group.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
patient ^nn++++=patient
in ^in++++=in
the ^ati++++=the
elexacaftor ^nn+++??+=elexacaftor
tezacaftor ^nn+++??+=tezacaftor
ivacaftor ^nn+++??+=ivacaftor
group ^nn++++=group
discontinued ^vwbn+++xvbn+=discontinued
treatment ^nn++++=treatment
owing ^in+cmpx+++=owing
to ^in"++++=to
an ^at++++=an
adverse ^jj+atrb+++=adverse
event ^nn++++=event
( ^zz++++=(elevated
elevated ^vbd+++xvbn+=EXTRAWORD
aminotransferase ^nn+++??+=aminotransferase
level ^nn++++=level),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
2 ^zz++++=2
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
active ^jj+atrb+++=active
control ^nn++++=control
group ^nn++++=group
discontinued ^vwbn+++xvbn+=discontinued
treatment ^nn++++=treatment
owing ^in+cmpx+++=owing
to ^in"++++=to
an ^at++++=an
adverse ^jj+atrb+++=adverse
event ^nn++++=event
( ^zz++++=(anxiety
anxiety ^nn++++=EXTRAWORD
or ^cc++++=or
depression ^nn++++=depression
in ^in++++=in
1 ^zz++++=1
patient ^nn++++=patient
and ^cc++++=and
pulmonary ^nn++++=pulmonary
exacerbation ^nn++++=exacerbation
in ^in++++=in
1 ^zz++++=1
patient ^nn++++=patient).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
