Two ^cd++++=Two
cluster ^nn++++=cluster-randomised
- ^zz++++=EXTRAWORD
randomised ^nn+++??+=EXTRAWORD
trials ^nns++++=trials
compared ^vbd+++xvbn+=compared
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
versus ^in++++=versus
no ^at++++=no
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
on ^in++++=on
tuberculosis ^nn++++=tuberculosis
prevalence ^nn+++??+=prevalence
in ^in++++=in
general ^jj+atrb+++=general
populations ^nns++++=populations
( ^zz++++=(
table ^nn++++=table
4 ^zz++++=4
) ^zz++++=).
. ^zz++++=EXTRAWORD
One ^cd1++++=One
further ^jjb+atrb+++=further
cluster ^nn++++=cluster-randomised
- ^zz++++=EXTRAWORD
randomised ^nn+++??+=EXTRAWORD
trial ^nn++++=trial
allocated ^vwbn+++xvbn+=allocated
urban ^jj+atrb+++=urban
clusters ^nns++++=clusters
in ^in++++=in
Zimbabwe ^np+++??+=Zimbabwe
to ^to++++=to
one ^pn++++=one
of ^in++++=of
two ^cd++++=two
types ^nns++++=types
of ^in++++=of
active ^jj+atrb+++=active
case ^nn++++=case-finding,
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
also ^rb++++=also
evaluated ^vbd+++xvbn+=evaluated
change ^nn++++=change
in ^in++++=in
tuberculosis ^nn++++=tuberculosis
prevalence ^nn+++??+=prevalence
before ^in++++=before
and ^cc++++=and
after ^cs+sub+++=after
implementation ^nn++++=implementation
of ^in++++=of
active ^jj+atrb+++=active
case ^nn++++=case-finding,
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
non ^&fw++++=non-randomised
- ^zz++++=EXTRAWORD
randomised ^nn+++??+=EXTRAWORD
comparison ^nn++++=comparison.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
other ^ap++++=other
non ^&fw++++=non-randomised
- ^zz++++=EXTRAWORD
randomised ^nn+++??+=EXTRAWORD
studies ^nns++++=studies
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
active ^jj+atrb+++=active
case ^nn++++=case-finding
- ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=EXTRAWORD
on ^in++++=on
tuberculosis ^nn++++=tuberculosis
prevalence ^nn+++??+=prevalence
in ^in++++=in
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
populations ^nns++++=populations
( ^zz++++=(
table ^nn++++=table
5 ^zz++++=5
) ^zz++++=).
. ^zz++++=EXTRAWORD
