Most ^ql+emph+++=Most
studies ^nns++++=studies
have ^vb+hv+aux++=have
adjusted ^vprf+++xvbnx+=adjusted
for ^in++++=for
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
education ^nn++++=education
in ^in++++=in
analyses ^nns++++=analyses
of ^in++++=of
sex ^nn++++=sex
differences ^nns++++=differences
in ^in++++=in
cognitive ^nn+++??+=cognitive
outcomes ^nns+++??+=outcomes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
few ^ap++++=few
longitudinal ^jj+atrb+++=longitudinal
studies ^nns++++=studies
that ^tht+rel+subj++=that
explicitly ^rb++++=explicitly
examined ^vbd+++xvbn+=examined
the ^ati++++=the
effect ^nn++++=effect
of ^in++++=of
education ^nn++++=education
on ^in++++=on
sex ^nn++++=sex
differences ^nns++++=differences
in ^in++++=in
cognitive ^nn+++??+=cognitive
ageing ^vwbg+++xvbg+=ageing
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
small ^jj+atrb+++=small
sample ^nn++++=sample
sizes ^nns++++=sizes.
. ^zz++++=EXTRAWORD
Studies ^nns++++=Studies
of ^in++++=of
how ^wrb+who+++=how
secular ^jj+atrb+++=secular
changes ^nns++++=changes
in ^in++++=in
access ^nn++++=access
to ^in++++=to
education ^nn++++=education
across ^in+pl+++=across
birth ^nn++++=birth
cohorts ^nns++++=cohorts
affect ^vb++++=affect
sex ^nn++++=sex
differences ^nns++++=differences
in ^in++++=in
cognitive ^nn+++??+=cognitive
ageing ^vwbg+++xvbg+=ageing
trajectories ^nns+++??+=trajectories
are ^vb+ber+vrb++=are
scarce ^jj+pred+++=scarce.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
probable ^jj+pred+++=probable
that ^tht+jcmp+++=that
sex ^nn++++=sex
differences ^nns++++=differences
in ^in++++=in
cognitive ^nn+++??+=cognitive
ageing ^vwbg+++xvbg+=ageing
patterns ^nns++++=patterns
differ ^vb++++=differ
between ^in++++=between
cognitive ^nn+++??+=cognitive
domains ^nns++++=domains.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
studies ^nns++++=studies
have ^vb+hv+aux++=have
suggested ^vprf+++xvbnx+=suggested
female ^nn++++=female
performance ^nn++++=performance
advantages ^nns++++=advantages
in ^in++++=in
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
have ^vb+hv+aux++=have
shown ^vpsv++agls+xvbn+=shown
mixed ^xvbn+++xvbn+=mixed
results ^nns++++=results
for ^in++++=for
other ^ap++++=other
cognitive ^nn++++=cognitive
domains ^nns++++=domains.
. ^zz++++=EXTRAWORD
