Most ^ql+emph+++=Most
studies ^nns++++=studies
( ^zz++++=(21
21 ^cd++++=EXTRAWORD
of ^in++++=of
28 ^cd++++=28)
) ^zz++++=EXTRAWORD
used ^vbd+++xvbn+=used
tuberculosis ^nn++++=tuberculosis
symptom ^nn++++=symptom
screening ^vwbg+++xvbg+=screening
as ^ql++++=as
the ^ati++++=the
first ^od++++=first
step ^vb++++=step
in ^in++++=in
the ^ati++++=the
screening ^jj+atrb++xvbg+=screening
algorithm ^nn+++??+=algorithm.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
studies ^nns++++=studies
used ^vwbn+++xvbn+=used
chest ^nn++++=chest
x ^zz++++=x-ray
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
symptoms ^nns++++=symptoms.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
studies ^nns++++=studies
used ^vwbn+++xvbn+=used
a ^at++++=a
tuberculin ^nn+++??+=tuberculin
skin ^nn++++=skin
test ^nn++++=test
as ^ql++++=as
the ^ati++++=the
first ^rb++++=first
screening ^vbg+++xvbg+=screening
test ^nn++++=test.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
study ^nn++++=study,
, ^zz++++=EXTRAWORD
chest ^nn++++=chest
x ^zz++++=x-ray
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^in++++=to
screen ^nn++++=screen
people ^nns++++=people
for ^in++++=for
tuberculosis ^nn++++=tuberculosis,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
sputum ^nn+++??+=sputum
was ^vbd+bedz+aux++=was
additionally ^vb+++??+=additionally
collected ^vbd+++xvbn+=collected
regardless ^rb++++=regardless
of ^in++++=of
symptoms ^nns++++=symptoms
or ^cc++++=or
chest ^nn++++=chest
x ^zz++++=x-ray
- ^zz++++=EXTRAWORD
ray ^np++++=EXTRAWORD
findings ^nns++++=findings.
. ^zz++++=EXTRAWORD
