Most ^ql+emph+++=Most
cases ^nns++++=cases
of ^in++++=of
chemotherapy ^nn+++??+=chemotherapy-induced
- ^zz++++=EXTRAWORD
induced ^vwbn+++xvbn+=EXTRAWORD
peripheral ^jj+atrb+++=peripheral
neuropathy ^nn+++??+=neuropathy
of ^in++++=of
grade ^nn++++=grade
2 ^zz++++=2
of ^in++++=of
higher ^jjr++++=higher
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
occurred ^vprf+++xvbn+=occurred
in ^in++++=in
19.1 ^cd+date+++=19.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
patients ^nns++++=patients;
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
15.9 ^cd++++=15.9
to ^to++++=to
22.3 ^cd++++=22.3)
) ^zz++++=EXTRAWORD
and ^cc++++=and
of ^in++++=of
grade ^nn++++=grade
3 ^zz++++=3
or ^cc++++=or
higher ^jjr++++=higher
( ^zz++++=(which
which ^whp+who+++=EXTRAWORD
occurred ^vprf+++xvbn+=occurred
in ^in++++=in
6.1 ^cd++++=6.1%;
% ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
95 ^cd++++=95%
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
4.2 ^cd++++=4.2
to ^to++++=to
8.1 ^cd++++=8.1)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
sensory ^jj+atrb+++=sensory
neuropathy ^nn+++??+=neuropathy,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
difference ^nn++++=difference
according ^in+cmpx+++=according
to ^in++++=to
treatment ^nn++++=treatment
group ^nn++++=group
or ^cc++++=or
age ^nn++++=age
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
S5 ^np+++??+=S5).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
dose ^nn++++=dose
of ^in++++=of
brentuximab ^nn+++??+=brentuximab
vedotin ^nn+++??+=vedotin
was ^vbd+bedz+aux++=was
modified ^vpsv++agls+xvbnx+=modified
in ^in++++=in
8.1 ^cd++++=8.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dose ^nn++++=dose
of ^in++++=of
vincristine ^nn+++??+=vincristine
was ^vbd+bedz+aux++=was
modified ^vpsv++agls+xvbnx+=modified
in ^in++++=in
13.4 ^cd++++=13.4%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
patients ^nns++++=patients
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
9.6 ^cd++++=9.6
to ^to++++=to
17.3 ^cd+date+++=17.3)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
brentuximab ^nn+++??+=brentuximab
vedotin ^nn+++??+=vedotin
group ^nn++++=group
and ^cc++++=and
in ^in++++=in
4.2 ^cd++++=4.2%
% ^zz++++=EXTRAWORD
of ^in++++=of
those ^dt+dem+++=those
( ^zz++++=(95%
95 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
Ci ^np+++??+=CI,
, ^zz++++=EXTRAWORD
1.9 ^cd++++=1.9
to ^to++++=to
6.5 ^cd++++=6.5)
) ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
standard ^nn++++=standard-care
- ^zz++++=EXTRAWORD
care ^nn++++=EXTRAWORD
group ^nn++++=group
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
S6 ^np+++??+=S6).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dose ^nn++++=Dose
modifications ^nns++++=modifications
of ^in++++=of
chemotherapy ^nn+++??+=chemotherapy
