In Excerpt 3, when Mr. Martinez states, “you were a
little bit more sure under direct examination weren’t you?”, he
highlights the contrast between Arias’s earlier certainty and her current
uncertainty regarding the exact time she placed her items in
the car. Determining the precise timing of this action is
crucial to the development of his accusation, and thus his
line of questioning demonstrates a degree of coerciveness. Generally, closed
questions, such as yes/no questions, are considered more coercive because
they restrict the range of possible responses. While tag questions
also prompt interlocutors to respond with yes or no, they
are regarded as more persuasive, as the preceding statement can
increase the interlocutor’s sense of vulnerability. As Tkacuková (2005, p.
335) asserts:
