The family Bromeliaceae Juss. comprises 78 genera and 3,336 known
species and is considered one of the most diverse plant
families in the Atlantic Forest (Gouda et al. 2021). The
genus Vriesea Lindl. includes 231 species, of which 219 are
endemic to Brazil (Costa et al. 2021). Vriesea is the
most species-rich genus within the Atlantic Forest biome, with a
total of 169 species, 145 of which are endemic. Notably,
Vriesea reitzii Leme & A.F. Costa is among the endemic
species currently classified as endangered according to the official list
of the state of Rio Grande do Sul, Brazil (Martinelli
et al. 2008).
