As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
the ^ati++++=the
data ^nns++++=data
analyses ^nns++++=analyses
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
cloud ^nn++++=cloud
maps ^nns++++=maps,
, ^zz++++=EXTRAWORD
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
emojis ^nns+++??+=emojis
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
teaching ^jj+atrb++xvbg+=teaching
presence ^nn++++=presence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Winking ^jj+atrb++xvbg+=Winking
Face ^nn++++=Face
emoji ^nn+++??+=emoji
was ^vbd+bedz+aux++=was
often ^rb++splt++=often
used ^vpsv++++=used
to ^in++++=to
minimize ^nn+++??+=minimize
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
interventions ^nns++++=interventions
such ^abl++++=such
as ^ql++++=as
confirming ^jj+++xvbg+=confirming
and ^cc+phrs+++=and
understanding ^jj+++xvbg+=understanding
a ^at++++=a
task ^nn++++=task,
, ^zz++++=EXTRAWORD
encouraging ^jj+atrb+++=encouraging
participants ^nns++++=participants
contributions ^nns++++=contributions,
, ^zz++++=EXTRAWORD
keeping ^vbg+++xvbg+=keeping
the ^ati++++=the
focus ^nn++++=focus
of ^in++++=of
discussions ^nns++++=discussions
on ^in++++=on
the ^ati++++=the
task ^nn++++=task,
, ^zz++++=EXTRAWORD
etc ^rb++++=etc.
. ^zz++++=EXTRAWORD
The ^ati++++=The
following ^jj+atrb++xvbg+=following
example ^nn++++=example
illustrates ^vbz+vpub+++=illustrates
how ^wrb+who+whcl++=how
this ^dt+dem+++=this
emoji ^nn+++??+=emoji
was ^vbd+bedz+aux++=was
used ^vpsv++++=used
to ^to++++=to
encourage ^vb++++=encourage
participants ^nns++++=participants
contributions ^nns++++=contributions
in ^in++++=in
Group ^nn++++=Group
1 ^zz++++=1.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
that ^tht+vcmp+++=that
the ^ati++++=the
Smiling ^jj+atrb++xvbg+=Smiling
Face ^nn++++=Face
Emoji ^nn++++=emoji
Was ^vbd+bedz+aux++=was
Used ^vpsv++++=used
To ^to++++=to
Acknowledge ^vb+vpub+++=acknowledge
Participants ^nns++++=participants'
 ^zz++++=EXTRAWORD
Contributions ^nns++++=contributions.
 ^zz++++=EXTRAWORD
