The ^ati++++=The
tolerant ^jj+atrb+++=tolerant
group ^nn++++=group
is ^vbz+bez+aux++=is
composed ^vpsv++agls+xvbnx+=composed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
by ^in++++=by
the ^ati++++=the
Ephemeroptera ^np+++??+=Ephemeroptera
order ^nn++++=order,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+vrb++=has
a ^at++++=a
long ^jj+atrb+++=long
life ^nn++++=life
cycle ^nn++++=cycle
and ^cc++++=and
presents ^vbz++++=presents
some ^dti++++=some
sensitivity ^nn++++=sensitivity
to ^in++++=to
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
physical ^jj++++=physical-chemical
- ^zz++++=EXTRAWORD
chemical ^jj+atrb+++=EXTRAWORD
parameters ^nns++++=parameters
of ^in++++=of
the ^ati++++=the
aquatic ^jj+atrb+++=aquatic
environment ^nn++++=environment,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
conductivity ^nn++++=conductivity,
, ^zz++++=EXTRAWORD
nitrate ^nn++++=nitrate
and ^cc++++=and
dissolved ^jj+atrb++xvbn+=dissolved
oxygen ^nn++++=oxygen
( ^zz++++=(TIMM,
timm ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1997 ^cd+date+++=1997;
; ^zz++++=EXTRAWORD
Hrovat ^np+++??+=HROVAT
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Hrovat ^np+++??+=Hrovat
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
showed ^vbd+vprv++xvbn+=showed
that ^tht+vcmp+++=that
the ^ati++++=the
depth ^nn++++=depth
of ^in++++=of
water ^nn++++=water
body ^nn++++=body
has ^vbz+hvz+vrb++=has
an ^at++++=an
influence ^nn++++=influence
on ^in++++=on
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
these ^dt+dem+++=these
organisms ^nns++++=organisms.
. ^zz++++=EXTRAWORD
Ephemeroptera ^np+++??+=Ephemeroptera
individuals ^nns++++=individuals
are ^vb+ber+aux++=are
also ^rb++splt++=also
commonly ^rb++++=commonly
found ^vbd+vprv++xvbn+=found
in ^in++++=in
lotic ^nn+++??+=lotic
environments ^nns++++=environments,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
may ^md+pos+++=may
reach ^vb++++=reach
high ^jj+atrb+++=high
density ^nn++++=density,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
spatial ^jj+atrb+++=spatial
changes ^nns++++=changes
have ^vb+hv+vrb++=have
a ^at++++=a
determining ^jj+atrb++xvbg+=determining
role ^nn++++=role
in ^in++++=in
their ^pp$+pp3+++=their
distribution ^nn++++=distribution,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
tend ^vb++++=tend
to ^to+vcmp+++=to
occur ^vbi++++=occur
at ^rb++++=at
the ^ati++++=the
stream ^nn++++=stream
banks ^nns++++=banks
( ^zz++++=(HROVAT
hrovat ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Cachoeira ^np+++??+=Cachoeira
do ^vb+do+vrb++=do
Para ^nn++++=Para
so ^cs+sub+++=so
waterfall ^nn++++=waterfall,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
p1 ^np++++=P1
and ^cc++++=and
p3 ^np++++=P3,
, ^zz++++=EXTRAWORD
at ^rb++++=at
low ^jj+atrb+++=low
densities ^nns++++=densities.
. ^zz++++=EXTRAWORD
