On ^in++++=On
the ^ati++++=the
extreme ^jj+atrb+++=extreme
side ^nn++++=side
of ^in++++=of
that ^dt+dem+++=that
option ^nn++++=option,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
Stanley ^np++++=Stanley
Hauerwas ^np+++??+=Hauerwas
s ^zz++++=s
theological ^jj+atrb+++=theological
appropriation ^nn+++??+=appropriation
of ^in++++=of
a ^at++++=a
communitarian ^nn+++??+=communitarian
theory ^nn++++=theory
of ^in++++=of
virtue ^nn++++=virtue
ethics ^nn++++=ethics.
. ^zz++++=EXTRAWORD
Coming ^vbg+++xvbg+=Coming
himself ^ppl+pp3+++=himself
from ^in++++=from
a ^at++++=a
protestant ^jj+atrb+++=protestant
tradition ^nn++++=tradition,
, ^zz++++=EXTRAWORD
Hauerwas ^np+++??+=Hauerwas
raises ^vbz++++=raises
severe ^jj+atrb+++=severe
criticism ^nn++++=criticism
of ^in++++=of
Christian ^jj+atrb+++=Christian
movements ^nns++++=movements
that ^tht+rel+subj++=that
seek ^vb++++=seek
an ^at++++=an
alliance ^nn++++=alliance
between ^in++++=between
the ^ati++++=the
Church ^nn++++=Church
and ^cc++++=and
the ^ati++++=the
state ^nn++++=state.
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
John ^np++++=John
Howard ^np++++=Howard
Yoder ^np+++??+=Yoder,
, ^zz++++=EXTRAWORD
Hauerwas ^np+++??+=Hauerwas
sees ^vbz+vprv+++=sees
any ^dti++++=any
attempt ^nn++++=attempt
at ^rb++++=at
controlling ^jj+++xvbg+=controlling
the ^ati++++=the
political ^jj+atrb+++=political
realm ^nn++++=realm
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
religion ^nn++++=religion
with ^in++++=with
scepticism ^nn++++=scepticism,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
believes ^vbz+vprv+++=believes
that ^tht+vcmp+++=that
the ^ati++++=the
needs ^nns++++=needs
of ^in++++=of
the ^ati++++=the
state ^nn++++=state,
, ^zz++++=EXTRAWORD
in ^in++++=in
terms ^nns++++=terms
of ^in++++=of
effectiveness ^nn++++=effectiveness
and ^cc++++=and
security ^nn++++=security,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
often ^rb++++=often
incompatible ^jj+pred+++=incompatible
with ^in++++=with
the ^ati++++=the
required ^jj+atrb++xvbn+=required
virtues ^nns++++=virtues
of ^in++++=of
faith ^nn++++=faith.
. ^zz++++=EXTRAWORD
In ^in++++=In
particular ^jj++++=particular,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
believes ^vbz+vprv+++=believes
that ^tht+vcmp+++=that
once ^rb+tm+++=once
Christians ^nn++++=Christians
are ^vb+ber+vrb++=are
in ^in++++=in
power ^nn++++=power,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
need ^vb++++=need
to ^to+vcmp+++=to
change ^vb++++=change
moral ^jj+atrb+++=moral
discourses ^nns++++=discourses
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
make ^vbi++++=make
concessions ^nns++++=concessions
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
are ^vb+ber+vrb++=are
not ^xnot++not++=not
formal ^jj+atrb+++=formal
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
Church ^nn++++=Church.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
notes ^nns++++=notes:
: ^zz++++=EXTRAWORD
servanthood ^nn+++??+=servanthood
and ^cc++++=and
love ^nn++++=love
of ^in++++=of
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
contentment ^nn++++=contentment
and ^cc++++=and
monogamy ^nn+++??+=monogamy,
, ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
expected ^vpsv++agls+xvbnx+=expected
of ^in++++=of
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
a ^at++++=a
duality ^nn++++=duality
develops ^vbz++++=develops
in ^in++++=in
ethics ^nn++++=ethics
between ^in++++=between
evangelical ^jj+atrb+++=evangelical
counsels ^nns++++=counsels
for ^in++++=for
the ^ati++++=the
motivated ^jj+++xvbn+=motivated
and ^cc++++=and
precepts ^nns+++??+=precepts
for ^in++++=for
everyone ^pn++++=everyone
else ^rb+cnj+++=else
( ^zz++++=(Hauerwas,
hauerwas ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
122 ^cd++++=122).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Moreover ^rb+cnj+++=Moreover,
, ^zz++++=EXTRAWORD
Hauerwas ^np+++??+=Hauerwas
is ^vbz+bez+aux++=is
especially ^rb++splt++=especially
concerned ^jj++agls+xvbnx+=concerned
that ^tht+jcmp+++=that
in ^in++++=in
the ^ati++++=the
impetus ^nn++++=impetus
for ^in++++=for
saving ^xvbg+++xvbg+=saving
secular ^jj+atrb+++=secular
governments ^nns++++=governments,
, ^zz++++=EXTRAWORD
Christians ^nn++++=Christians
may ^md+pos+++=may
have ^md"++pmd"++=have
to ^md+nec+++=to
choose ^vb++++=choose
between ^in++++=between
the ^ati++++=the
gospel ^nn++++=gospel
s ^zz++++=s
orientation ^nn++++=orientation
for ^in++++=for
self ^nn++++=self-sacrifice
- ^zz++++=EXTRAWORD
sacrifice ^nn++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
nation ^nn++++=nation
s ^zz++++=s
call ^vb++++=call
for ^in+ppvb+++=for
war ^nn++++=war.
. ^zz++++=EXTRAWORD
For ^in++++=For
this ^dt+dem+++=this
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
opposes ^vbz++++=opposes
state ^vb+vpub+++=state
sponsored ^vbd+++xvbn+=sponsored
religious ^jj+atrb+++=religious
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
contending ^vb++++=contending
that ^tht+vcmp+++=that
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
task ^nn++++=task
of ^in++++=of
religious ^jj+atrb+++=religious
citizens ^nns++++=citizens
to ^to++++=to
try ^vbi++++=try
to ^to+vcmp+++=to
get ^vbi++++=get
access ^nn++++=access
to ^in++++=to
political ^jj+atrb+++=political
power ^nn++++=power
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
change ^vb++++=change
the ^ati++++=the
ethos ^nn++++=ethos
of ^in++++=of
society ^nn++++=society.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
should ^md+nec+++=should
concentrate ^vb++++=concentrate
their ^pp$+pp3+++=their
efforts ^nns++++=efforts
on ^in++++=on
developing ^xvbg+++xvbg+=developing
the ^ati++++=the
virtues ^nns++++=virtues
necessary ^jj++++=necessary
for ^in++++=for
the ^ati++++=the
realisation ^nn++++=realisation
of ^in++++=of
their ^pp$+pp3+++=their
communitarian ^nn++++=communitarian
goals ^nns++++=goals
in ^in++++=in
the ^ati++++=the
church ^nn++++=Church.
. ^zz++++=EXTRAWORD
